ts_recv,ts_event,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,symbol
2026-01-20T00:02:39.712043986Z,2026-01-20T00:02:39.709462315Z,1,1,42428998,T,B,0,2.150000000,25,0,14308,113581762,2.050000000,2.150000000,284,25,3,1,ESH6 P3900
2026-01-20T00:06:14.536606908Z,2026-01-20T00:06:14.534780437Z,1,1,2514248,T,A,0,62.500000000,1,0,15308,28623639,62.500000000,63.000000000,1,93,1,3,UD:1V: GN 2514248
2026-01-20T00:06:31.313127325Z,2026-01-20T00:06:31.312661297Z,1,1,42383331,T,B,0,99.000000000,3,0,13662,113844391,98.000000000,99.000000000,3,44,1,4,ESH6 P6650
2026-01-20T00:07:24.510532390Z,2026-01-20T00:07:24.507448711Z,1,1,42429011,T,A,0,171.250000000,2,0,14699,113899664,171.250000000,171.750000000,2,31,1,3,ESH6 C6900
2026-01-20T00:10:00.302093105Z,2026-01-20T00:10:00.172796865Z,1,1,2513089,T,A,0,94.500000000,1,0,12357,28694835,94.500000000,95.250000000,1,5,1,1,UD:1V: GN 2513089
2026-01-20T00:11:04.643436303Z,2026-01-20T00:11:04.642203243Z,1,1,42430464,T,B,0,39.000000000,2,0,13710,114213395,38.500000000,39.000000000,74,2,5,1,ESH6 C7200
2026-01-20T00:16:18.086232394Z,2026-01-20T00:16:18.061568503Z,1,1,42430464,T,A,0,38.500000000,1,0,11809,114534816,38.500000000,39.000000000,1,5,1,1,ESH6 C7200
2026-01-20T00:16:44.645020819Z,2026-01-20T00:16:44.609719867Z,1,1,42608052,T,B,0,33.000000000,1,0,13031,114575402,32.750000000,33.000000000,48,1,3,1,ESH6 C7225
2026-01-20T00:16:49.281220788Z,2026-01-20T00:16:49.280699771Z,1,1,42545724,T,B,0,28.000000000,1,0,14175,114584477,27.500000000,28.000000000,90,1,4,1,ESH6 C7250
2026-01-20T00:16:52.399647041Z,2026-01-20T00:16:52.395496279Z,1,1,42545724,T,A,0,28.000000000,15,0,12716,114587923,28.000000000,28.250000000,15,8,1,2,ESH6 C7250
2026-01-20T00:24:05.750529154Z,2026-01-20T00:24:05.750180581Z,1,1,42341500,T,A,0,31.250000000,4,0,13830,115038820,31.250000000,31.500000000,4,11,1,1,ESZ6 C8400
2026-01-20T00:25:01.901701686Z,2026-01-20T00:25:01.901401077Z,1,1,42426741,T,A,0,74.250000000,1,0,14773,115079428,74.250000000,74.500000000,1,46,1,4,ESH6 P6500
2026-01-20T00:25:47.152072944Z,2026-01-20T00:25:47.093105979Z,1,1,2514248,T,A,0,62.000000000,1,0,13857,28938662,62.000000000,62.750000000,1,54,1,3,UD:1V: GN 2514248
2026-01-20T00:25:48.886462906Z,2026-01-20T00:25:48.753112997Z,1,1,42394633,T,B,0,20.250000000,3,0,11752,115167123,20.000000000,20.250000000,188,3,2,1,ESM6 P4500
2026-01-20T00:26:24.182257738Z,2026-01-20T00:26:24.181920463Z,1,1,42341500,T,A,0,31.000000000,2,0,17022,115219368,31.000000000,31.250000000,2,11,1,1,ESZ6 C8400
2026-01-20T00:26:42.545644446Z,2026-01-20T00:26:42.545086251Z,1,1,2500302,T,A,0,75.250000000,1,0,14076,28959297,75.250000000,76.250000000,300,81,1,2,UD:1V: VT 2500302
2026-01-20T00:27:52.282911414Z,2026-01-20T00:27:52.282297277Z,1,1,42438256,T,B,0,38.250000000,2,0,13587,115299492,37.750000000,38.250000000,11,2,1,1,ESZ6 C8300
2026-01-20T00:29:06.521302415Z,2026-01-20T00:29:06.520538415Z,1,1,42383331,T,B,0,100.750000000,1,0,15294,115358288,100.500000000,100.750000000,31,1,2,1,ESH6 P6650
2026-01-20T00:30:08.217064992Z,2026-01-20T00:30:08.071103141Z,1,1,42383331,T,B,0,100.750000000,2,0,10565,115408233,100.500000000,100.750000000,4,2,1,1,ESH6 P6650
2026-01-20T00:30:37.745071609Z,2026-01-20T00:30:37.744529257Z,1,1,42341500,T,B,0,30.250000000,6,0,14088,115474306,29.750000000,30.250000000,12,6,1,1,ESZ6 C8400
