ts_recv,ts_event,rtype,publisher_id,instrument_id,side,price,size,flags,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,symbol
2026-06-18T08:00:01.000000000Z,2026-06-18T08:00:00.140323978Z,195,2,15024,N,193.090000000,40,128,334579,193.000000000,193.800000000,1000,500,1,1,SPCX
2026-06-18T08:00:02.000000000Z,2026-06-18T08:00:01.973215993Z,195,2,15024,A,192.550000000,225,128,352818,192.550000000,193.080000000,850,1,1,1,SPCX
2026-06-18T08:00:03.000000000Z,2026-06-18T08:00:02.108638682Z,195,2,15024,A,192.550000000,237,128,365280,192.550000000,193.370000000,84,200,1,2,SPCX
2026-06-18T08:00:04.000000000Z,2026-06-18T08:00:03.795867344Z,195,2,15024,A,192.550000000,6,128,372401,192.550000000,193.000000000,47,10,1,1,SPCX
2026-06-18T08:00:05.000000000Z,2026-06-18T08:00:04.879790556Z,195,2,15024,B,193.000000000,10,128,378456,192.560000000,193.470000000,314,325,2,2,SPCX
2026-06-18T08:00:06.000000000Z,2026-06-18T08:00:04.879790556Z,195,2,15024,B,193.000000000,10,128,380419,192.560000000,193.470000000,314,325,2,2,SPCX
2026-06-18T08:00:07.000000000Z,2026-06-18T08:00:06.600390395Z,195,2,15024,N,193.000000000,40,128,387836,192.560000000,193.470000000,374,325,3,2,SPCX
2026-06-18T08:00:08.000000000Z,2026-06-18T08:00:06.600390395Z,195,2,15024,N,193.000000000,40,128,391809,192.820000000,193.470000000,60,325,1,2,SPCX
2026-06-18T08:00:09.000000000Z,2026-06-18T08:00:08.688159586Z,195,2,15024,A,193.060000000,56,128,401244,193.000000000,193.470000000,2,325,1,2,SPCX
2026-06-18T08:00:10.000000000Z,2026-06-18T08:00:08.688159586Z,195,2,15024,A,193.060000000,56,128,404108,193.000000000,193.470000000,87,325,3,2,SPCX
2026-06-18T08:00:11.000000000Z,2026-06-18T08:00:10.961765897Z,195,2,15024,N,193.000000000,40,128,411774,192.730000000,193.010000000,6,6,1,1,SPCX
2026-06-18T08:00:12.000000000Z,2026-06-18T08:00:11.618359521Z,195,2,15024,N,193.240000000,6,128,417372,193.070000000,193.310000000,60,6,1,1,SPCX
2026-06-18T08:00:13.000000000Z,2026-06-18T08:00:12.183013979Z,195,2,15024,A,193.250000000,6,128,421803,193.250000000,193.370000000,38,6,2,1,SPCX
2026-06-18T08:00:14.000000000Z,2026-06-18T08:00:13.983801020Z,195,2,15024,A,193.250000000,28,128,430990,193.130000000,193.250000000,6,6,1,1,SPCX
2026-06-18T08:00:15.000000000Z,2026-06-18T08:00:14.890630959Z,195,2,15024,N,193.120000000,6,128,435571,193.010000000,193.190000000,6,6,1,1,SPCX
2026-06-18T08:00:16.000000000Z,2026-06-18T08:00:15.907901916Z,195,2,15024,N,192.960000000,6,128,439573,192.770000000,192.950000000,6,106,1,2,SPCX
2026-06-18T08:00:17.000000000Z,2026-06-18T08:00:16.109639306Z,195,2,15024,N,192.760000000,3,128,445328,193.070000000,193.310000000,66,6,2,1,SPCX
2026-06-18T08:00:18.000000000Z,2026-06-18T08:00:17.021662336Z,195,2,15024,N,193.370000000,12,128,448793,193.310000000,193.430000000,6,6,1,1,SPCX
