ts_recv,ts_event,rtype,publisher_id,instrument_id,action,side,price,size,flags,ts_in_delta,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_pb_00,ask_pb_00,symbol
2026-06-24T13:30:00.006181404Z,2026-06-24T13:30:00.005980096Z,194,35,1275068664,T,N,12.800000000,12,192,0,,,0,0,0,0,SPCX  260710C00152500
2026-06-24T13:30:00.006706477Z,2026-06-24T13:30:00.006504956Z,194,26,1291845927,T,N,13.700000000,1,192,0,11.700000000,16.500000000,4,4,27,27,SPCX  260821P00140000
2026-06-24T13:30:00.006901694Z,2026-06-24T13:30:00.006700418Z,194,26,1291845947,T,N,6.500000000,1,192,0,,,0,0,0,0,SPCX  260821P00120000
2026-06-24T13:30:00.007914748Z,2026-06-24T13:30:00.007713800Z,194,26,1308623017,T,N,43.700000000,1,192,0,,,0,0,0,0,SPCX  261016P00180000
2026-06-24T13:30:00.008314711Z,2026-06-24T13:30:00.008113770Z,194,26,1291846414,T,N,8.100000000,3,192,0,,,0,0,0,0,SPCX  260821P00125000
2026-06-24T13:30:00.009819943Z,2026-06-24T13:30:00.009618710Z,194,35,1258291594,T,N,42.800000000,10,192,0,,,0,0,0,0,SPCX  270617C00160000
2026-06-24T13:30:00.009935207Z,2026-06-24T13:30:00.009733951Z,194,35,1258291763,T,N,51.100000000,1,192,0,50.200000000,52.400000000,1,6,35,35,SPCX  270917C00150000
2026-06-24T13:30:00.010080346Z,2026-06-24T13:30:00.009879336Z,194,35,1258291269,T,N,11.400000000,1,192,0,9.500000000,12.500000000,7,3,27,27,SPCX  260717C00160000
2026-06-24T13:30:00.010215897Z,2026-06-24T13:30:00.010014736Z,194,35,1258291516,T,N,12.400000000,1,192,0,10.300000000,13.900000000,7,3,27,27,SPCX  260717C00157500
2026-06-24T13:30:00.010331366Z,2026-06-24T13:30:00.010129944Z,194,35,1258291633,T,N,11.200000000,1,192,0,9.200000000,12.200000000,4,4,27,27,SPCX  260731C00170000
2026-06-24T13:30:00.013632908Z,2026-06-24T13:30:00.013431503Z,194,35,1291845947,T,N,6.600000000,1,192,0,6.300000000,6.900000000,1,1,26,26,SPCX  260821P00120000
2026-06-24T13:30:00.015296656Z,2026-06-24T13:30:00.015095663Z,194,26,1291846352,T,N,11.400000000,1,192,0,10.100000000,14.100000000,7,3,27,27,SPCX  260717P00150000
2026-06-24T13:30:00.015517978Z,2026-06-24T13:30:00.015315924Z,194,35,1291846010,T,N,5.300000000,1,192,0,4.500000000,6.500000000,6,2,27,25,SPCX  260717P00135000
