ts_recv,ts_event,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,symbol
2026-04-09T00:01:16.449736943Z,2026-04-09T00:01:16.439674435Z,1,1,42394812,T,B,0,198.500000000,2,0,17272,1067548957,196.000000000,198.500000000,36,2,4,1,ESM6 P6800
2026-04-09T00:01:16.598821201Z,2026-04-09T00:01:16.594029363Z,1,1,42394812,T,B,0,198.500000000,3,0,14392,1067550319,196.500000000,198.500000000,8,7,2,2,ESM6 P6800
2026-04-09T00:01:32.730578587Z,2026-04-09T00:01:32.730067621Z,1,1,42372949,T,B,0,208.000000000,1,0,13966,1067572758,207.500000000,208.000000000,8,1,2,1,ESM6 C6800
2026-04-09T00:04:36.496198563Z,2026-04-09T00:04:36.495496081Z,1,1,42399706,T,A,0,167.500000000,1,0,20021,1067755661,167.500000000,169.000000000,1,36,1,3,ESM6 P6700
2026-04-09T00:06:57.589827841Z,2026-04-09T00:06:57.589318159Z,1,1,2608885,T,A,0,32.000000000,39,0,14493,458198068,32.000000000,32.250000000,39,53,1,2,UD:1V: VT 2608885
2026-04-09T00:10:26.812165412Z,2026-04-09T00:10:26.811627227Z,1,1,42384872,T,B,0,183.500000000,1,0,16861,1068078699,181.000000000,183.500000000,36,8,4,2,ESM6 P6750
2026-04-09T00:21:55.435325014Z,2026-04-09T00:21:55.434825183Z,1,1,42384724,T,B,0,35.750000000,1,0,14037,1068703506,34.750000000,35.750000000,14,1,3,1,ESM6 C7200
2026-04-09T00:36:11.487717937Z,2026-04-09T00:36:11.487185677Z,1,1,42439347,T,A,0,118.500000000,3,0,17458,1069521551,118.500000000,121.000000000,23,56,3,3,ESU6 P6000
2026-04-09T00:36:21.162611323Z,2026-04-09T00:36:21.153569165Z,1,1,42378449,T,A,0,49.500000000,2,0,14010,1069525929,49.500000000,51.250000000,9,18,2,3,ESM6 P6000
2026-04-09T00:41:15.195258794Z,2026-04-09T00:41:15.194916469Z,1,1,42394740,T,A,0,16.400000000,5,0,13326,1069714619,16.400000000,16.900000000,5,234,1,5,ESM6 P5200
