ts_recv,ts_event,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,symbol
2026-03-27T00:00:07.597392619Z,2026-03-27T00:00:07.501168747Z,1,1,2653624,T,A,0,127.000000000,1,0,13477,698827335,127.000000000,128.000000000,1,116,1,3,UD:1V: VT 2653624
2026-03-27T00:00:10.230373734Z,2026-03-27T00:00:10.207713239Z,1,1,42435330,T,B,0,46.000000000,1,0,13253,1741764983,45.250000000,46.000000000,43,1,2,1,ESM6 C7050
2026-03-27T00:03:40.263073007Z,2026-03-27T00:03:40.262759677Z,1,1,42384725,T,B,0,7.100000000,20,0,14343,1742094925,6.900000000,7.100000000,13,20,1,1,ESM6 C7400
2026-03-27T00:03:42.874787052Z,2026-03-27T00:03:42.874238383Z,1,1,42384725,T,B,0,7.100000000,20,0,13830,1742095791,6.900000000,7.100000000,13,20,1,1,ESM6 C7400
2026-03-27T00:03:45.698910620Z,2026-03-27T00:03:45.698373345Z,1,1,42384725,T,B,0,7.100000000,10,0,14814,1742097306,6.900000000,7.100000000,13,10,1,1,ESM6 C7400
2026-03-27T00:04:03.692469798Z,2026-03-27T00:04:03.659036935Z,1,1,42384725,T,B,0,7.100000000,14,0,11334,1742109206,6.800000000,7.100000000,182,20,2,2,ESM6 C7400
2026-03-27T00:04:04.504067582Z,2026-03-27T00:04:04.503752807Z,1,1,42384725,T,B,0,7.000000000,10,0,14031,1742110658,6.800000000,7.000000000,182,10,2,1,ESM6 C7400
2026-03-27T00:09:20.083215943Z,2026-03-27T00:09:20.078281015Z,1,1,42396832,T,A,0,393.500000000,2,0,13732,1742350591,393.500000000,395.500000000,2,6,1,1,ESU6 P6650
2026-03-27T00:09:59.485285190Z,2026-03-27T00:09:59.450005647Z,1,1,42384725,T,B,0,7.100000000,6,0,10577,1742384221,6.800000000,7.100000000,14,6,1,1,ESM6 C7400
2026-03-27T00:20:16.906458116Z,2026-03-27T00:20:16.904963877Z,1,1,2654657,T,B,0,33.000000000,1,0,14868,699131346,32.750000000,33.000000000,52,1,1,1,UD:1V: VT 2654657
2026-03-27T00:20:42.980018707Z,2026-03-27T00:20:42.979605763Z,1,1,42409666,T,B,0,93.000000000,1,0,13392,1743115343,92.000000000,93.000000000,52,1,3,1,ESM6 P5800
2026-03-27T00:26:49.482289070Z,2026-03-27T00:26:49.306606355Z,1,1,42394731,T,A,0,34.250000000,1,0,11687,1743825149,34.250000000,44.000000000,1,1,1,1,ESM6 P5000
2026-03-27T00:30:31.014275779Z,2026-03-27T00:30:31.013852399Z,1,1,2654900,T,B,0,71.000000000,3,0,13481,699468512,70.750000000,71.000000000,103,3,2,1,UD:1V: VT 2654900
2026-03-27T00:31:15.162252713Z,2026-03-27T00:31:15.161827561Z,1,1,2651795,T,A,0,55.000000000,6,0,13380,699483368,55.000000000,55.250000000,6,119,1,2,UD:1V: VT 2651795
2026-03-27T00:31:58.157993529Z,2026-03-27T00:31:58.157400347Z,1,1,2654911,T,B,0,29.000000000,6,0,15297,699490911,28.750000000,29.000000000,14,6,1,1,UD:1V: VT 2654911
2026-03-27T00:33:04.193721167Z,2026-03-27T00:33:04.193281257Z,1,1,2654657,T,A,0,33.500000000,3,0,13975,699505254,33.500000000,33.750000000,3,268,1,2,UD:1V: VT 2654657
2026-03-27T00:34:00.224894145Z,2026-03-27T00:34:00.224322769Z,1,1,2653923,T,A,0,119.000000000,1,0,12891,699522350,119.000000000,119.500000000,1,67,1,1,UD:1V: VT 2653923
