ts_recv,ts_event,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,symbol
2026-01-30T00:12:47.901170193Z,2026-01-30T00:12:47.768682589Z,1,1,2970430,T,A,0,-11.000000000,1,0,12150,359834642,-11.000000000,-10.500000000,1,268,1,3,UD:1V: GN 2970430
2026-01-30T00:23:06.160009013Z,2026-01-30T00:23:06.159473557Z,1,1,42545724,T,B,0,30.000000000,3,0,14604,1075540336,29.750000000,30.000000000,60,3,2,1,ESH6 C7250
2026-01-30T00:27:26.812928074Z,2026-01-30T00:27:26.794490373Z,1,1,42429687,T,A,0,132.000000000,1,0,14776,1075969691,132.000000000,132.500000000,1,18,1,2,ESH6 C7000
2026-01-30T00:28:03.787264974Z,2026-01-30T00:28:03.786444241Z,1,1,2971067,T,A,0,6.100000000,2,0,13540,360047759,6.100000000,6.150000000,2,441,1,3,UD:1V: VT 2971067
2026-01-30T00:28:29.031070993Z,2026-01-30T00:28:29.030543319Z,1,1,2970430,T,A,0,-11.250000000,1,0,14303,360050254,-11.250000000,-10.750000000,1,224,1,2,UD:1V: GN 2970430
2026-01-30T00:30:18.099415406Z,2026-01-30T00:30:18.099041555Z,1,1,42429687,T,A,0,133.000000000,10,0,17075,1076204107,133.000000000,133.250000000,10,17,1,1,ESH6 C7000
2026-01-30T00:31:14.657173930Z,2026-01-30T00:31:14.656495475Z,1,1,2971067,T,A,0,6.000000000,2,0,14328,360072235,6.000000000,6.050000000,2,429,1,3,UD:1V: VT 2971067
2026-01-30T00:32:06.152075119Z,2026-01-30T00:32:06.151629475Z,1,1,2971146,T,B,0,16.000000000,1,0,13925,360086833,15.750000000,16.000000000,372,1,3,1,UD:1V: VT 2971146
2026-01-30T00:32:20.110843241Z,2026-01-30T00:32:20.110400873Z,1,1,2971146,T,B,0,16.000000000,1,0,13038,360089657,15.750000000,16.000000000,373,1,3,1,UD:1V: VT 2971146
2026-01-30T00:33:47.176560610Z,2026-01-30T00:33:47.176046643Z,1,1,42428246,T,A,0,36.500000000,9,0,13981,1076722354,36.500000000,37.500000000,67,21,3,2,ESH6 P6400
2026-01-30T00:40:06.763903209Z,2026-01-30T00:40:06.619188371Z,1,1,42429674,T,A,0,73.750000000,1,0,13819,1077388085,73.750000000,74.500000000,1,34,1,1,ESH6 P6700
2026-01-30T00:40:59.220465632Z,2026-01-30T00:40:59.219915751Z,1,1,42431181,T,A,0,59.250000000,1,0,14336,1077483684,59.250000000,59.500000000,1,1,1,1,ESH6 P6600
2026-01-30T00:41:04.923283378Z,2026-01-30T00:41:04.920749083Z,1,1,42431181,T,A,0,59.000000000,1,0,14210,1077492435,59.000000000,59.500000000,1,14,1,2,ESH6 P6600
2026-01-30T00:42:44.785427022Z,2026-01-30T00:42:44.784870009Z,1,1,42488858,T,A,0,14.500000000,1,0,13553,1077613104,14.500000000,14.750000000,222,122,1,4,ESH6 C7350
2026-01-30T00:42:44.785662164Z,2026-01-30T00:42:44.784870187Z,1,1,42488858,T,A,0,14.500000000,20,0,13739,1077613106,14.500000000,14.750000000,221,122,1,4,ESH6 C7350
2026-01-30T00:42:44.785721082Z,2026-01-30T00:42:44.784870365Z,1,1,42488858,T,A,0,14.500000000,26,0,13266,1077613107,14.500000000,14.750000000,201,122,1,4,ESH6 C7350
2026-01-30T00:42:44.785721082Z,2026-01-30T00:42:44.784870541Z,1,1,42488858,T,A,0,14.500000000,31,0,13266,1077613107,14.500000000,14.750000000,175,122,1,4,ESH6 C7350
2026-01-30T00:44:44.214249037Z,2026-01-30T00:44:44.213914571Z,1,1,42429011,T,B,0,195.500000000,1,0,14056,1077758541,195.000000000,195.500000000,26,1,3,1,ESH6 C6900
2026-01-30T00:45:20.910657641Z,2026-01-30T00:45:20.910123927Z,1,1,42397940,T,A,0,34.500000000,1,0,13662,1077834341,34.500000000,34.750000000,1,1,1,1,ESH6 P6350
2026-01-30T00:46:12.468354780Z,2026-01-30T00:46:12.467810019Z,1,1,42643092,T,B,0,12.000000000,73,0,13647,1077898121,11.000000000,12.000000000,137,73,4,1,ESH6 C7375
2026-01-30T00:46:52.106404301Z,2026-01-30T00:46:52.106027531Z,1,1,42488858,T,A,0,14.500000000,44,0,13781,1077956665,14.500000000,14.750000000,44,53,1,2,ESH6 C7350
2026-01-30T00:46:55.655301538Z,2026-01-30T00:46:55.654929355Z,1,1,42488858,T,A,0,14.500000000,44,0,13737,1077965269,14.500000000,14.750000000,44,53,1,2,ESH6 C7350
2026-01-30T00:47:05.468980655Z,2026-01-30T00:47:05.468635299Z,1,1,42387478,T,A,0,1.300000000,1,0,13712,1077978086,1.300000000,1.400000000,1,388,1,3,ESH6 P3950
2026-01-30T00:47:20.932198747Z,2026-01-30T00:47:20.931856163Z,1,1,42428998,T,A,0,1.250000000,1,0,13306,1077994185,1.250000000,1.350000000,1,317,1,3,ESH6 P3900
2026-01-30T00:47:29.975672109Z,2026-01-30T00:47:29.975322105Z,1,1,42488858,T,A,0,14.500000000,55,0,15510,1078008369,14.500000000,14.750000000,55,53,1,2,ESH6 C7350
2026-01-30T00:48:33.741670438Z,2026-01-30T00:48:33.736227491Z,1,1,42435427,T,B,0,84.250000000,1,0,13499,1078075864,83.750000000,84.250000000,9,1,1,1,ESH6 P6750
2026-01-30T00:48:54.239541098Z,2026-01-30T00:48:54.239266517Z,1,1,42430449,T,A,0,1.400000000,1,0,14501,1078112504,1.400000000,1.500000000,1,337,1,4,ESH6 P4000
2026-01-30T00:48:56.821354083Z,2026-01-30T00:48:56.820748203Z,1,1,2970894,T,A,0,-0.100000000,1,0,14407,360275835,-0.100000000,0.150000000,24,14,1,1,UD:1V: GN 2970894
2026-01-30T00:49:09.582716986Z,2026-01-30T00:49:09.582117407Z,1,1,42430449,T,A,0,1.400000000,1,0,13419,1078138250,1.400000000,1.500000000,1,337,1,4,ESH6 P4000
2026-01-30T00:50:05.754373534Z,2026-01-30T00:50:05.753940539Z,1,1,2976088,T,A,0,70.750000000,1,0,13668,360288991,70.750000000,71.000000000,1,3,1,1,UD:1V: VT 2976088
2026-01-30T00:51:08.245241918Z,2026-01-30T00:51:08.244909321Z,1,1,42426737,T,A,0,1.100000000,1,0,13644,1078288041,1.100000000,1.200000000,1,391,1,3,ESH6 P3800
2026-01-30T00:51:19.152796572Z,2026-01-30T00:51:19.152426797Z,1,1,42428998,T,A,0,1.250000000,1,0,13668,1078299678,1.250000000,1.350000000,1,317,1,3,ESH6 P3900
2026-01-30T00:53:50.277115333Z,2026-01-30T00:53:50.265496453Z,1,1,42366515,T,A,0,111.000000000,14,0,14622,1078445841,111.000000000,111.500000000,14,7,1,2,ESM6 P6350
2026-01-30T00:53:50.277195247Z,2026-01-30T00:53:50.265497681Z,1,1,42366515,T,A,0,111.000000000,14,0,11683,1078445845,111.000000000,111.500000000,14,7,1,2,ESM6 P6350
2026-01-30T00:54:18.599155952Z,2026-01-30T00:54:18.598801323Z,1,1,42387478,T,A,0,1.300000000,1,0,13409,1078484763,1.300000000,1.400000000,1,388,1,3,ESH6 P3950
2026-01-30T00:54:26.396329779Z,2026-01-30T00:54:26.395988197Z,1,1,42387478,T,A,0,1.300000000,1,0,13828,1078489668,1.300000000,1.400000000,1,388,1,3,ESH6 P3950
2026-01-30T00:55:10.278255793Z,2026-01-30T00:55:10.277708677Z,1,1,42347631,T,A,0,27.500000000,1,0,13952,1078540324,27.500000000,28.500000000,38,91,3,4,ESH6 P6250
2026-01-30T00:57:03.933978998Z,2026-01-30T00:57:03.933192163Z,1,1,42366515,T,A,0,111.000000000,5,0,14171,1078661511,111.000000000,111.500000000,5,40,1,2,ESM6 P6350
2026-01-30T00:57:11.576462974Z,2026-01-30T00:57:11.551003577Z,1,1,42366515,T,A,0,111.000000000,10,0,13843,1078668926,111.000000000,111.500000000,5,44,1,3,ESM6 P6350
2026-01-30T00:57:11.594890971Z,2026-01-30T00:57:11.576466443Z,1,1,42366515,T,A,0,111.000000000,34,0,11889,1078669264,111.000000000,111.500000000,5,44,1,3,ESM6 P6350
2026-01-30T00:58:04.700870977Z,2026-01-30T00:58:04.700262329Z,1,1,42366515,T,A,0,111.000000000,1,0,18467,1078762480,111.000000000,111.500000000,1,40,1,2,ESM6 P6350
2026-01-30T00:58:38.623254814Z,2026-01-30T00:58:38.603545081Z,1,1,2970894,T,A,0,-0.150000000,1,0,14522,360346131,-0.150000000,0.050000000,23,20,1,1,UD:1V: GN 2970894
2026-01-30T00:59:02.675923847Z,2026-01-30T00:59:02.675188717Z,1,1,42430449,T,A,0,1.350000000,1,0,14608,1078854278,1.350000000,1.500000000,1,337,1,4,ESH6 P4000
2026-01-30T00:59:21.554035368Z,2026-01-30T00:59:21.553471669Z,1,1,42366515,T,A,0,111.000000000,5,0,17375,1078884915,111.000000000,111.500000000,5,40,1,2,ESM6 P6350
2026-01-30T01:01:50.180058800Z,2026-01-30T01:01:50.177464721Z,1,1,42485321,T,B,0,138.000000000,15,0,14277,1079177709,137.500000000,138.000000000,1,15,1,1,ESH6 P6950
2026-01-30T01:02:11.128637940Z,2026-01-30T01:02:10.972508043Z,1,1,42545724,T,A,0,30.000000000,1,0,11786,1079222397,30.000000000,30.500000000,1,21,1,2,ESH6 C7250
2026-01-30T01:02:27.360479659Z,2026-01-30T01:02:27.359962643Z,1,1,42428998,T,A,0,1.200000000,1,0,14705,1079260420,1.200000000,1.350000000,1,317,1,3,ESH6 P3900
2026-01-30T01:03:31.576559117Z,2026-01-30T01:03:31.575829381Z,1,1,42428998,T,A,0,1.200000000,1,0,15377,1079378886,1.200000000,1.350000000,1,317,1,3,ESH6 P3900
2026-01-30T01:03:39.588301980Z,2026-01-30T01:03:39.587574837Z,1,1,42430449,T,A,0,1.350000000,1,0,14192,1079402797,1.350000000,1.500000000,1,315,1,3,ESH6 P4000
2026-01-30T01:08:00.265217774Z,2026-01-30T01:08:00.256507475Z,1,1,42366515,T,A,0,111.750000000,7,0,11662,1079856945,111.750000000,112.250000000,7,40,1,2,ESM6 P6350
2026-01-30T01:08:22.266496355Z,2026-01-30T01:08:22.240546761Z,1,1,42431944,T,B,0,17.500000000,2,0,14522,1079896053,17.000000000,17.500000000,178,2,4,1,ESH6 P6000
2026-01-30T01:08:28.057504870Z,2026-01-30T01:08:28.056941085Z,1,1,42439347,T,B,0,126.500000000,1,0,13658,1079907405,125.750000000,126.500000000,90,1,3,1,ESU6 P6000
2026-01-30T01:09:01.130617766Z,2026-01-30T01:09:01.130278167Z,1,1,42366515,T,A,0,112.000000000,3,0,13973,1079956686,112.000000000,112.250000000,3,40,1,2,ESM6 P6350
2026-01-30T01:09:01.130769223Z,2026-01-30T01:09:01.130278573Z,1,1,42366515,T,A,0,112.000000000,37,0,12185,1079956688,112.000000000,112.250000000,3,40,1,2,ESM6 P6350
2026-01-30T01:09:01.131038892Z,2026-01-30T01:09:01.130278775Z,1,1,42366515,T,A,0,112.000000000,3,0,11570,1079956690,112.000000000,112.250000000,2,40,1,2,ESM6 P6350
2026-01-30T01:09:01.131313162Z,2026-01-30T01:09:01.130304123Z,1,1,42366515,T,A,0,112.000000000,9,0,12426,1079956692,112.000000000,112.250000000,2,40,1,2,ESM6 P6350
2026-01-30T01:09:06.907295926Z,2026-01-30T01:09:06.745084285Z,1,1,42366515,T,A,0,112.000000000,38,0,12688,1079974153,112.000000000,112.250000000,2,38,1,1,ESM6 P6350
2026-01-30T01:09:07.080037631Z,2026-01-30T01:09:06.907299369Z,1,1,42366515,T,A,0,112.000000000,36,0,14284,1079976829,112.000000000,112.250000000,3,34,1,1,ESM6 P6350
2026-01-30T01:09:52.784400336Z,2026-01-30T01:09:52.783766967Z,1,1,2976305,T,B,0,497.250000000,4,0,15595,360492431,497.000000000,497.250000000,25,23,1,1,UD:1V: BX 2976305
2026-01-30T01:09:56.801074877Z,2026-01-30T01:09:56.800461611Z,1,1,2976305,T,B,0,497.250000000,3,0,14787,360494675,497.000000000,497.250000000,25,19,1,1,UD:1V: BX 2976305
2026-01-30T01:10:00.803172755Z,2026-01-30T01:10:00.802592223Z,1,1,2976305,T,B,0,497.250000000,2,0,13877,360495396,497.000000000,497.250000000,25,16,1,1,UD:1V: BX 2976305
2026-01-30T01:10:36.865693757Z,2026-01-30T01:10:36.865451333Z,1,1,42366515,T,A,0,112.250000000,2,0,14642,1080096815,112.250000000,112.750000000,2,44,1,3,ESM6 P6350
