ts_recv,ts_event,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,symbol
2026-01-29T00:01:01.132799533Z,2026-01-29T00:01:01.096330299Z,1,1,42427508,T,A,0,85.750000000,2,0,13800,684387934,85.750000000,86.000000000,10,22,1,1,ESH6 C7100
2026-01-29T00:01:01.297426392Z,2026-01-29T00:01:01.296947845Z,1,1,42427508,T,A,0,85.750000000,3,0,13311,684392308,85.750000000,86.000000000,8,26,1,2,ESH6 C7100
2026-01-29T00:01:01.340734584Z,2026-01-29T00:01:01.324332153Z,1,1,42427508,T,A,0,85.750000000,5,0,13984,684393351,85.750000000,86.000000000,5,26,1,2,ESH6 C7100
2026-01-29T00:01:08.263424956Z,2026-01-29T00:01:08.262811925Z,1,1,2626762,T,B,0,61.500000000,1,0,14694,218839757,59.250000000,61.500000000,84,4,2,1,UD:1V: GN 2626762
2026-01-29T00:02:23.127224264Z,2026-01-29T00:02:23.020354657Z,1,1,42427508,T,A,0,85.000000000,5,0,13138,684745380,85.000000000,85.250000000,5,22,1,1,ESH6 C7100
2026-01-29T00:02:32.072108256Z,2026-01-29T00:02:32.064787287Z,1,1,42427508,T,A,0,84.750000000,5,0,13586,684783333,84.750000000,85.000000000,5,22,1,1,ESH6 C7100
2026-01-29T00:02:32.462400480Z,2026-01-29T00:02:32.461678767Z,1,1,42586223,T,A,0,2.000000000,1,0,15364,684785200,2.000000000,2.100000000,35,236,1,1,ESH6 C7650
2026-01-29T00:02:53.841063654Z,2026-01-29T00:02:53.814977755Z,1,1,42427508,T,A,0,84.250000000,10,0,14642,684850035,84.250000000,84.500000000,10,22,1,1,ESH6 C7100
2026-01-29T00:02:55.402426049Z,2026-01-29T00:02:55.386166893Z,1,1,42427508,T,A,0,84.000000000,5,0,14213,684860235,84.000000000,84.250000000,5,22,1,1,ESH6 C7100
2026-01-29T00:02:56.257897544Z,2026-01-29T00:02:56.111757097Z,1,1,42427508,T,A,0,83.750000000,5,0,11648,684866285,83.750000000,84.000000000,5,22,1,1,ESH6 C7100
2026-01-29T00:03:08.556836840Z,2026-01-29T00:03:08.556112313Z,1,1,42586223,T,A,0,2.000000000,2,0,12965,684916417,2.000000000,2.100000000,34,236,1,1,ESH6 C7650
2026-01-29T00:04:12.202177248Z,2026-01-29T00:04:12.192571985Z,1,1,42586223,T,A,0,2.000000000,32,0,15314,685129951,2.000000000,2.050000000,32,236,1,1,ESH6 C7650
2026-01-29T00:04:13.713458262Z,2026-01-29T00:04:13.710165227Z,1,1,42545724,T,A,0,32.750000000,1,0,13572,685138071,32.750000000,33.250000000,1,67,1,3,ESH6 C7250
2026-01-29T00:05:21.866375859Z,2026-01-29T00:05:21.858458569Z,1,1,42427501,T,A,0,148.000000000,1,0,13493,685352288,148.000000000,148.250000000,1,22,1,2,ESH6 P7000
2026-01-29T00:08:20.881018361Z,2026-01-29T00:08:20.880571491Z,1,1,2627575,T,A,0,9.650000000,1,0,14078,219037812,9.650000000,9.900000000,1,37,1,1,UD:1V: VT 2627575
2026-01-29T00:08:26.333411523Z,2026-01-29T00:08:26.319009879Z,1,1,42804075,T,A,0,55.250000000,1,0,15027,685866750,55.250000000,55.500000000,1,44,1,2,ESH6 C7175
2026-01-29T00:10:24.230701963Z,2026-01-29T00:10:24.230155887Z,1,1,42804075,T,A,0,56.250000000,1,0,13436,686144092,56.250000000,56.500000000,1,44,1,2,ESH6 C7175
2026-01-29T00:10:41.292122491Z,2026-01-29T00:10:41.282057213Z,1,1,42426741,T,A,0,43.250000000,1,0,14788,686183568,43.250000000,43.500000000,1,61,1,2,ESH6 P6500
2026-01-29T00:11:01.149873400Z,2026-01-29T00:11:01.137190527Z,1,1,42545724,T,B,0,34.500000000,2,0,14761,686226117,34.000000000,34.500000000,69,2,4,1,ESH6 C7250
2026-01-29T00:17:52.467452241Z,2026-01-29T00:17:52.368916457Z,1,1,42566722,T,A,0,223.250000000,9,0,11611,686963778,223.250000000,224.250000000,9,16,1,1,ESH6 C6875
2026-01-29T00:28:15.964868762Z,2026-01-29T00:28:15.958370129Z,1,1,3088469,T,B,0,24.500000000,1,0,14556,219272996,24.000000000,24.500000000,73,1,1,1,UD:1V: IC 3088469
2026-01-29T00:38:17.213579207Z,2026-01-29T00:38:17.213206589Z,1,1,42377530,T,A,0,265.500000000,1,0,13361,689017162,265.500000000,266.000000000,1,47,1,2,ESU6 P6800
2026-01-29T00:40:01.038626275Z,2026-01-29T00:40:01.034689651Z,1,1,42429687,T,B,0,140.000000000,1,0,14421,689185823,139.500000000,140.000000000,30,1,2,1,ESH6 C7000
2026-01-29T00:45:47.988144239Z,2026-01-29T00:45:47.987554121Z,1,1,42384779,T,B,0,145.000000000,3,0,17174,689613070,144.250000000,145.000000000,49,3,3,1,ESM6 P6600
2026-01-29T00:48:49.428443989Z,2026-01-29T00:48:49.427841647Z,1,1,2559483,T,B,0,17.250000000,20,0,14260,219437000,17.000000000,17.250000000,20,61,1,1,UD:1V: VT 2559483
2026-01-29T00:57:43.226083448Z,2026-01-29T00:57:43.225554879Z,1,1,42426734,T,B,0,11.500000000,20,0,13792,690273905,11.000000000,11.500000000,155,20,5,1,ESH6 C7400
2026-01-29T00:57:50.542770339Z,2026-01-29T00:57:50.542479093Z,1,1,42426734,T,B,0,11.500000000,20,0,11779,690283228,11.000000000,11.500000000,155,20,5,1,ESH6 C7400
2026-01-29T00:57:57.692268411Z,2026-01-29T00:57:57.682180849Z,1,1,42427501,T,B,0,144.000000000,15,0,12230,690295606,143.500000000,144.000000000,17,15,1,1,ESH6 P7000
2026-01-29T00:58:09.441938650Z,2026-01-29T00:58:09.441343561Z,1,1,42427508,T,A,0,87.500000000,5,0,15734,690315474,87.500000000,87.750000000,5,23,1,2,ESH6 C7100
2026-01-29T00:58:50.563881546Z,2026-01-29T00:58:50.563517769Z,1,1,42427501,T,B,0,143.000000000,15,0,14411,690366273,142.750000000,143.000000000,35,15,3,1,ESH6 P7000
2026-01-29T00:59:06.818136146Z,2026-01-29T00:59:06.817725381Z,1,1,42427501,T,B,0,143.250000000,15,0,14904,690393466,143.000000000,143.250000000,23,15,3,1,ESH6 P7000
2026-01-29T00:59:09.055465016Z,2026-01-29T00:59:09.054949863Z,1,1,42427508,T,A,0,87.250000000,5,0,14416,690398110,87.250000000,87.500000000,5,22,1,1,ESH6 C7100
2026-01-29T00:59:09.167596786Z,2026-01-29T00:59:09.167267385Z,1,1,42427501,T,B,0,143.250000000,15,0,14295,690398470,143.000000000,143.250000000,19,15,3,1,ESH6 P7000
2026-01-29T00:59:10.496394421Z,2026-01-29T00:59:10.495882485Z,1,1,42428246,T,B,0,34.750000000,10,0,14134,690403820,34.500000000,34.750000000,10,50,1,2,ESH6 P6400
2026-01-29T00:59:13.027388357Z,2026-01-29T00:59:13.026879775Z,1,1,42428246,T,B,0,34.750000000,10,0,13818,690408103,34.500000000,34.750000000,10,40,1,2,ESH6 P6400
2026-01-29T00:59:19.740628715Z,2026-01-29T00:59:19.740067375Z,1,1,42428246,T,B,0,34.750000000,10,0,13599,690415330,34.500000000,34.750000000,10,30,1,2,ESH6 P6400
2026-01-29T00:59:20.615876577Z,2026-01-29T00:59:20.615334545Z,1,1,42427501,T,B,0,143.250000000,15,0,13623,690415706,143.000000000,143.250000000,15,15,3,1,ESH6 P7000
2026-01-29T00:59:25.744746959Z,2026-01-29T00:59:25.741424977Z,1,1,42427501,T,B,0,143.250000000,10,0,14420,690421752,143.000000000,143.250000000,27,15,3,1,ESH6 P7000
2026-01-29T00:59:25.744940293Z,2026-01-29T00:59:25.741426647Z,1,1,42427501,T,B,0,143.250000000,5,0,12304,690421754,143.000000000,143.250000000,27,5,3,1,ESH6 P7000
2026-01-29T00:59:29.629893103Z,2026-01-29T00:59:29.628499705Z,1,1,42431181,T,A,0,54.000000000,1,0,14078,690429175,54.000000000,54.250000000,1,41,1,2,ESH6 P6600
2026-01-29T00:59:32.655189621Z,2026-01-29T00:59:32.653622797Z,1,1,42426734,T,B,0,11.500000000,20,0,13552,690434574,11.000000000,11.500000000,147,20,5,1,ESH6 C7400
2026-01-29T00:59:55.231249694Z,2026-01-29T00:59:55.230878031Z,1,1,42427501,T,B,0,142.500000000,15,0,16695,690463686,142.250000000,142.500000000,6,15,2,1,ESH6 P7000
2026-01-29T01:00:15.937440417Z,2026-01-29T01:00:15.926520769Z,1,1,42427508,T,A,0,87.000000000,3,0,16271,690533588,87.000000000,87.250000000,5,22,1,1,ESH6 C7100
2026-01-29T01:00:16.525437407Z,2026-01-29T01:00:16.513575375Z,1,1,42427508,T,A,0,87.000000000,2,0,14766,690536932,87.000000000,87.250000000,2,22,1,1,ESH6 C7100
2026-01-29T01:00:31.815165306Z,2026-01-29T01:00:31.814631605Z,1,1,42427501,T,B,0,143.000000000,15,0,14533,690578895,142.750000000,143.000000000,6,15,2,1,ESH6 P7000
2026-01-29T01:00:56.136924157Z,2026-01-29T01:00:56.131210567Z,1,1,42427501,T,B,0,143.000000000,15,0,13241,690612326,142.500000000,143.000000000,6,15,2,1,ESH6 P7000
2026-01-29T01:01:01.656469928Z,2026-01-29T01:01:01.656131671Z,1,1,42427501,T,B,0,143.000000000,15,0,14454,690621373,142.750000000,143.000000000,24,15,2,1,ESH6 P7000
2026-01-29T01:01:21.699790342Z,2026-01-29T01:01:21.699240655Z,1,1,42427501,T,B,0,142.250000000,3,0,14114,690659346,142.000000000,142.250000000,6,15,2,1,ESH6 P7000
2026-01-29T01:01:22.208693690Z,2026-01-29T01:01:22.208135055Z,1,1,2627407,T,A,0,5.000000000,3,0,13549,219496182,5.000000000,5.150000000,5,123,1,1,UD:1V: VT 2627407
2026-01-29T01:01:22.208861374Z,2026-01-29T01:01:22.208144039Z,1,1,42427501,T,B,0,142.250000000,3,0,13804,690660332,142.000000000,142.250000000,6,12,2,1,ESH6 P7000
2026-01-29T01:01:29.542909302Z,2026-01-29T01:01:29.539961133Z,1,1,42427501,T,B,0,142.250000000,9,0,13628,690666784,142.000000000,142.250000000,6,9,2,1,ESH6 P7000
2026-01-29T01:01:34.178339567Z,2026-01-29T01:01:34.177994101Z,1,1,42427501,T,B,0,142.250000000,15,0,14175,690678849,142.000000000,142.250000000,20,15,1,1,ESH6 P7000
2026-01-29T01:01:48.216460595Z,2026-01-29T01:01:48.215917871Z,1,1,42427501,T,B,0,143.000000000,15,0,13253,690708668,142.750000000,143.000000000,19,15,3,1,ESH6 P7000
2026-01-29T01:01:50.761276456Z,2026-01-29T01:01:50.760912919Z,1,1,42427501,T,B,0,143.000000000,15,0,13783,690712689,142.750000000,143.000000000,19,15,3,1,ESH6 P7000
2026-01-29T01:03:02.481076384Z,2026-01-29T01:03:02.480345781Z,1,1,42431181,T,A,0,53.750000000,1,0,13951,690826723,53.750000000,54.000000000,1,41,1,2,ESH6 P6600
2026-01-29T01:03:23.869677007Z,2026-01-29T01:03:23.869374805Z,1,1,42427501,T,B,0,142.500000000,15,0,14215,690860138,142.250000000,142.500000000,43,15,2,1,ESH6 P7000
2026-01-29T01:03:26.320203588Z,2026-01-29T01:03:26.319625523Z,1,1,42427501,T,B,0,142.500000000,15,0,13155,690863470,142.250000000,142.500000000,43,15,2,1,ESH6 P7000
2026-01-29T01:03:44.661452940Z,2026-01-29T01:03:44.660422791Z,1,1,42427501,T,B,0,143.000000000,15,0,14836,690897305,142.500000000,143.000000000,14,15,2,1,ESH6 P7000
2026-01-29T01:04:00.902023930Z,2026-01-29T01:04:00.894026689Z,1,1,42427501,T,B,0,143.000000000,15,0,14502,690909193,142.500000000,143.000000000,44,15,3,1,ESH6 P7000
2026-01-29T01:05:10.841121770Z,2026-01-29T01:05:10.840540603Z,1,1,2627407,T,A,0,5.000000000,2,0,18953,219526381,5.000000000,5.150000000,2,123,1,1,UD:1V: VT 2627407
2026-01-29T01:06:46.518998876Z,2026-01-29T01:06:46.518624393Z,1,1,42427501,T,B,0,143.000000000,10,0,13834,691112224,142.750000000,143.000000000,40,10,3,1,ESH6 P7000
2026-01-29T01:08:52.134108884Z,2026-01-29T01:08:52.133527267Z,1,1,42430448,T,A,0,0.300000000,28,0,13852,691254304,0.300000000,0.350000000,28,10,2,1,ESH6 P3000
2026-01-29T01:08:52.134618156Z,2026-01-29T01:08:52.134112267Z,1,1,42430448,T,B,0,0.300000000,13,0,14221,691254306,0.250000000,0.300000000,2,2,1,1,ESH6 P3000
2026-01-29T01:08:52.293877493Z,2026-01-29T01:08:52.293396153Z,1,1,42430448,T,B,0,0.300000000,9,0,17025,691254346,0.250000000,0.300000000,2,9,1,1,ESH6 P3000
2026-01-29T01:09:20.565401590Z,2026-01-29T01:09:20.544882599Z,1,1,42430448,T,A,0,0.300000000,24,0,13833,691290851,0.300000000,0.350000000,24,10,1,1,ESH6 P3000
2026-01-29T01:09:20.611246234Z,2026-01-29T01:09:20.610719491Z,1,1,42430448,T,B,0,0.300000000,6,0,14343,691291165,0.250000000,0.300000000,2,6,1,1,ESH6 P3000
2026-01-29T01:09:20.698419933Z,2026-01-29T01:09:20.697930335Z,1,1,42430448,T,B,0,0.300000000,20,0,18738,691291210,0.250000000,0.300000000,2,10,1,1,ESH6 P3000
2026-01-29T01:10:34.980389696Z,2026-01-29T01:10:34.876000779Z,1,1,42427508,T,A,0,86.500000000,3,0,14391,691402226,86.500000000,86.750000000,5,22,1,1,ESH6 C7100
2026-01-29T01:10:35.094626330Z,2026-01-29T01:10:35.061301061Z,1,1,42427508,T,A,0,86.500000000,2,0,13855,691404313,86.500000000,86.750000000,2,22,1,1,ESH6 C7100
2026-01-29T01:12:01.216023480Z,2026-01-29T01:12:01.205605933Z,1,1,2627407,T,A,0,5.000000000,5,0,14677,219584380,5.000000000,5.100000000,5,124,1,1,UD:1V: VT 2627407
2026-01-29T01:12:01.223363379Z,2026-01-29T01:12:01.222504489Z,1,1,2627407,T,A,0,5.000000000,5,0,14347,219584409,5.000000000,5.100000000,5,124,1,1,UD:1V: VT 2627407
2026-01-29T01:12:01.226323911Z,2026-01-29T01:12:01.225818585Z,1,1,2627407,T,A,0,5.000000000,5,0,14522,219584413,5.000000000,5.100000000,5,124,1,1,UD:1V: VT 2627407
2026-01-29T01:16:29.531383012Z,2026-01-29T01:16:29.529065729Z,1,1,42366458,T,B,0,6.150000000,1,0,13671,691978086,5.950000000,6.150000000,349,1,5,1,ESM6 P3400
2026-01-29T01:16:32.299114895Z,2026-01-29T01:16:32.291495075Z,1,1,42427508,T,A,0,86.000000000,2,0,14733,691985891,86.000000000,86.250000000,5,22,1,1,ESH6 C7100
2026-01-29T01:16:32.445641943Z,2026-01-29T01:16:32.445113567Z,1,1,42427508,T,A,0,86.000000000,3,0,13583,691988178,86.000000000,86.250000000,3,22,1,1,ESH6 C7100
2026-01-29T01:18:47.569602920Z,2026-01-29T01:18:47.569076957Z,1,1,42427508,T,A,0,85.500000000,5,0,14657,692225468,85.500000000,85.750000000,5,22,1,1,ESH6 C7100
2026-01-29T01:22:51.710026321Z,2026-01-29T01:22:51.649352135Z,1,1,42427508,T,A,0,85.000000000,5,0,11587,692629023,85.000000000,85.250000000,5,22,1,1,ESH6 C7100
2026-01-29T01:24:18.092718687Z,2026-01-29T01:24:18.063457769Z,1,1,42545724,T,A,0,33.500000000,1,0,14354,692781649,33.500000000,33.750000000,1,49,1,2,ESH6 C7250
2026-01-29T01:25:05.971863358Z,2026-01-29T01:25:05.966849005Z,1,1,42427508,T,A,0,84.500000000,5,0,14452,692874759,84.500000000,84.750000000,5,22,1,1,ESH6 C7100
2026-01-29T01:25:06.631596250Z,2026-01-29T01:25:06.498813979Z,1,1,42366458,T,B,0,6.200000000,1,0,12081,692880220,6.000000000,6.200000000,307,1,4,1,ESM6 P3400
2026-01-29T01:25:20.128626115Z,2026-01-29T01:25:20.096156051Z,1,1,42427508,T,A,0,84.000000000,5,0,13400,692918653,84.000000000,84.250000000,5,22,1,1,ESH6 C7100
2026-01-29T01:27:02.564932245Z,2026-01-29T01:27:02.528856901Z,1,1,42430464,T,A,0,45.750000000,1,0,14007,693154563,45.750000000,46.000000000,1,35,1,1,ESH6 C7200
2026-01-29T01:45:17.058029275Z,2026-01-29T01:45:17.057108111Z,1,1,42429687,T,B,0,138.000000000,1,0,13690,695180086,137.750000000,138.000000000,1,17,1,1,ESH6 C7000
