ts_recv,ts_event,rtype,publisher_id,instrument_id,action,side,price,size,flags,ts_in_delta,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_pb_00,ask_pb_00,symbol
2026-07-06T13:30:00.006768697Z,2026-07-06T13:30:00.006567388Z,194,35,1258292119,T,N,15.900000000,1,192,0,15.500000000,16.400000000,3,1,35,35,SPCX  260821C00175000
2026-07-06T13:30:00.032212300Z,2026-07-06T13:30:00.032010978Z,194,35,1275068710,T,N,7.700000000,3,192,0,7.400000000,8.100000000,1,1,35,35,SPCX  260918C00220000
2026-07-06T13:30:00.037562154Z,2026-07-06T13:30:00.037360934Z,194,35,1258291216,T,N,12.500000000,3,192,0,12.000000000,12.900000000,2,1,35,35,SPCX  260821C00185000
2026-07-06T13:30:00.038170801Z,2026-07-06T13:30:00.037969579Z,194,35,1308622862,T,N,27.700000000,2,192,0,26.600000000,28.800000000,8,8,35,35,SPCX  261016P00165000
2026-07-06T13:30:00.038170801Z,2026-07-06T13:30:00.037969579Z,194,35,1308622883,T,N,27.450000000,2,192,0,25.800000000,28.600000000,8,8,35,35,SPCX  260918P00170000
2026-07-06T13:30:00.038333810Z,2026-07-06T13:30:00.038132781Z,194,35,1258292165,T,N,14.200000000,2,192,0,13.700000000,15.200000000,2,2,35,35,SPCX  260821C00180000
2026-07-06T13:30:00.039859893Z,2026-07-06T13:30:00.039658518Z,194,35,1291845718,T,N,36.100000000,1,192,0,35.900000000,37.400000000,1,2,35,35,SPCX  270617P00150000
2026-07-06T13:30:00.045040750Z,2026-07-06T13:30:00.044839478Z,194,35,1258291739,T,N,8.600000000,2,192,0,7.800000000,10.000000000,2,1,27,35,SPCX  260821C00200000
2026-07-06T13:30:00.073991992Z,2026-07-06T13:30:00.073790600Z,194,35,1275068743,T,N,21.000000000,1,192,0,20.300000000,21.500000000,6,1,35,35,SPCX  261218C00200000
2026-07-06T13:30:00.074405139Z,2026-07-06T13:30:00.074203913Z,194,35,1258292165,T,N,14.500000000,1,192,0,13.700000000,15.200000000,2,2,35,35,SPCX  260821C00180000
2026-07-06T13:30:00.074407786Z,2026-07-06T13:30:00.074206599Z,194,35,1275068472,T,N,21.300000000,1,192,0,20.600000000,22.600000000,8,6,35,35,SPCX  261016C00180000
2026-07-06T13:30:00.079805719Z,2026-07-06T13:30:00.079603649Z,194,35,1291845718,T,N,35.900000000,1,192,0,34.700000000,37.400000000,5,1,35,35,SPCX  270617P00150000
2026-07-06T13:30:00.082048176Z,2026-07-06T13:30:00.081847161Z,194,35,1258291266,T,N,22.900000000,1,192,0,21.700000000,24.700000000,6,5,35,35,SPCX  260821C00160000
2026-07-06T13:30:00.090441204Z,2026-07-06T13:30:00.090239843Z,194,35,1275068532,T,N,2.050000000,5,192,0,1.750000000,2.600000000,1,3,35,35,SPCX  260710C00185000
2026-07-06T13:30:00.093909022Z,2026-07-06T13:30:00.093707478Z,194,35,1308623395,T,N,1.750000000,1,192,0,1.350000000,2.000000000,8,3,35,35,SPCX  260710P00150000
2026-07-06T13:30:00.208502189Z,2026-07-06T13:30:00.208300435Z,194,26,1291846568,T,N,22.650000000,1,192,0,22.000000000,23.300000000,3,3,35,35,SPCX  260821P00170000
2026-07-06T13:30:00.208502189Z,2026-07-06T13:30:00.208300435Z,194,26,1291846045,T,N,12.470000000,1,192,0,10.800000000,13.400000000,2,2,25,25,SPCX  260717P00170000
2026-07-06T13:30:00.210432384Z,2026-07-06T13:30:00.210230943Z,194,26,1275068556,T,N,1.250000000,3,192,0,1.050000000,1.550000000,13,10,35,35,SPCX  261016C00450000
2026-07-06T13:30:00.210928447Z,2026-07-06T13:30:00.210727028Z,194,26,1275068617,T,N,7.400000000,1,192,0,6.400000000,9.000000000,2,2,25,25,SPCX  260724C00177500
2026-07-06T13:30:00.213598928Z,2026-07-06T13:30:00.213397908Z,194,26,1308623355,T,N,25.770000000,1,192,0,24.800000000,26.800000000,12,7,35,35,SPCX  261218P00150000
2026-07-06T13:30:00.213604615Z,2026-07-06T13:30:00.213402864Z,194,26,1308622854,T,N,13.360000000,2,192,0,12.600000000,14.200000000,8,7,35,35,SPCX  261218P00120000
2026-07-06T13:30:00.213604615Z,2026-07-06T13:30:00.213402864Z,194,26,1308623325,T,N,5.400000000,1,192,0,4.900000000,5.900000000,10,6,35,26,SPCX  261218P00090000
2026-07-06T13:30:00.214384164Z,2026-07-06T13:30:00.214183117Z,194,26,1258291272,T,N,10.200000000,1,192,0,8.900000000,11.700000000,2,2,27,25,SPCX  260731C00175000
2026-07-06T13:30:00.215479324Z,2026-07-06T13:30:00.215277911Z,194,26,1275068639,T,N,6.500000000,2,192,0,5.600000000,7.700000000,2,2,25,25,SPCX  260710C00167500
2026-07-06T13:30:00.216393869Z,2026-07-06T13:30:00.216192843Z,194,26,1258291692,T,N,10.300000000,2,192,0,9.200000000,11.600000000,2,2,25,25,SPCX  260717C00165000
2026-07-06T13:30:00.217318837Z,2026-07-06T13:30:00.217117269Z,194,26,1275068961,T,N,7.400000000,15,192,0,6.600000000,9.000000000,2,2,25,25,SPCX  260710C00165000
2026-07-06T13:30:00.217508986Z,2026-07-06T13:30:00.217307774Z,194,26,1275068816,T,N,17.800000000,6,192,0,17.200000000,19.300000000,6,6,35,35,SPCX  260918C00180000
2026-07-06T13:30:00.217962794Z,2026-07-06T13:30:00.217761608Z,194,26,1258291700,T,N,18.000000000,1,192,0,17.100000000,18.500000000,6,2,35,35,SPCX  260821C00170000
2026-07-06T13:30:00.218260860Z,2026-07-06T13:30:00.218059543Z,194,26,1275068842,T,N,8.900000000,11,192,0,7.900000000,10.300000000,2,2,25,25,SPCX  260710C00162500
2026-07-06T13:30:00.219168008Z,2026-07-06T13:30:00.218966702Z,194,26,1275068961,T,N,7.500000000,5,192,0,6.600000000,7.500000000,2,5,25,26,SPCX  260710C00165000
2026-07-06T13:30:00.220659258Z,2026-07-06T13:30:00.220458034Z,194,26,1258291311,T,N,12.900000000,3,192,0,11.700000000,14.300000000,2,2,25,25,SPCX  260717C00160000
2026-07-06T13:30:00.221886599Z,2026-07-06T13:30:00.221685399Z,194,26,1275068849,T,N,10.200000000,6,192,0,9.300000000,11.900000000,14,14,33,33,SPCX  260710C00160000
2026-07-06T13:30:00.223168089Z,2026-07-06T13:30:00.222966265Z,194,26,1275068904,T,N,12.000000000,11,192,0,10.800000000,13.300000000,2,2,25,25,SPCX  260710C00157500
2026-07-06T13:30:00.223496064Z,2026-07-06T13:30:00.223294885Z,194,26,1258291698,T,N,16.000000000,1,192,0,13.900000000,18.000000000,2,2,25,25,SPCX  260717C00155000
2026-07-06T13:30:00.223833556Z,2026-07-06T13:30:00.223632017Z,194,26,1291846259,T,N,57.700000000,1,192,0,52.500000000,62.500000000,2,2,27,27,SPCX  281215P00160000
2026-07-06T13:30:00.224581248Z,2026-07-06T13:30:00.224379634Z,194,26,1275068904,T,N,12.000000000,3,192,0,10.800000000,12.000000000,2,3,25,26,SPCX  260710C00157500
2026-07-06T13:30:00.225151589Z,2026-07-06T13:30:00.224950352Z,194,26,1291846404,T,N,0.400000000,1,192,0,0.050000000,0.450000000,3,1,33,27,SPCX  260717P00120000
2026-07-06T13:30:00.226039638Z,2026-07-06T13:30:00.225838110Z,194,26,1275068757,T,N,8.700000000,3,192,0,7.000000000,9.800000000,2,3,25,27,SPCX  260724C00175000
2026-07-06T13:30:00.228395426Z,2026-07-06T13:30:00.228193682Z,194,26,1275068707,T,N,28.700000000,2,192,0,26.000000000,32.000000000,1,1,27,27,SPCX  260724C00140000
2026-07-06T13:30:00.228729902Z,2026-07-06T13:30:00.228528981Z,194,26,1308623358,T,N,1.330000000,4,192,0,0.900000000,1.750000000,1,1,26,26,SPCX  260710P00148000
2026-07-06T13:30:00.228729902Z,2026-07-06T13:30:00.228528981Z,194,26,1308623376,T,N,1.030000000,4,192,0,0.400000000,1.800000000,3,3,35,35,SPCX  260710P00146000
2026-07-06T13:30:00.230562883Z,2026-07-06T13:30:00.230361728Z,194,26,1258291508,T,N,5.000000000,6,192,0,4.200000000,6.100000000,58,2,27,25,SPCX  260717C00180000
2026-07-06T13:30:00.230784208Z,2026-07-06T13:30:00.230582698Z,194,26,1258291727,T,N,8.300000000,2,192,0,7.000000000,9.900000000,3,2,27,27,SPCX  260717C00170000
2026-07-06T13:30:00.244546178Z,2026-07-06T13:30:00.244345078Z,194,27,1258291739,T,N,8.640000000,1,192,0,7.800000000,10.000000000,4,1,35,35,SPCX  260821C00200000
2026-07-06T13:30:00.248091874Z,2026-07-06T13:30:00.247890680Z,194,27,1275068639,T,N,6.560000000,2,192,0,5.900000000,7.500000000,1,1,26,26,SPCX  260710C00167500
2026-07-06T13:30:00.250266495Z,2026-07-06T13:30:00.250065284Z,194,27,1308623395,T,N,1.680000000,1,192,0,1.500000000,2.000000000,2,3,26,35,SPCX  260710P00150000
2026-07-06T13:30:00.251007931Z,2026-07-06T13:30:00.250807065Z,194,25,1308623506,T,N,2.970000000,1,192,0,2.100000000,3.400000000,2,2,25,25,SPCX  260710P00155000
2026-07-06T13:30:00.251264461Z,2026-07-06T13:30:00.251063220Z,194,25,1275069149,T,N,2.050000000,1,192,0,2.050000000,3.300000000,1,1,25,25,SPCX  260814C00290000
2026-07-06T13:30:00.273658906Z,2026-07-06T13:30:00.273456592Z,194,33,1275068961,T,N,6.500000000,1,192,0,6.400000000,6.500000000,14,1,26,33,SPCX  260710C00165000
2026-07-06T13:30:00.286026725Z,2026-07-06T13:30:00.285825657Z,194,35,1308622898,T,N,4.400000000,1,192,0,3.600000000,5.200000000,5,5,35,35,SPCX  260724P00147000
2026-07-06T13:30:00.286749948Z,2026-07-06T13:30:00.286548130Z,194,35,1275069051,T,N,1.000000000,12,192,0,0.350000000,1.600000000,3,1,25,25,SPCX  260710C00200000
2026-07-06T13:30:00.287796869Z,2026-07-06T13:30:00.287595337Z,194,35,1275068854,T,N,1.250000000,6,192,0,0.550000000,1.850000000,2,2,25,25,SPCX  260710C00195000
2026-07-06T13:30:00.288858884Z,2026-07-06T13:30:00.288657828Z,194,35,1275068618,T,N,1.350000000,1,192,0,0.600000000,2.100000000,3,3,27,27,SPCX  260710C00192500
2026-07-06T13:30:00.289601303Z,2026-07-06T13:30:00.289399690Z,194,35,1275068462,T,N,2.400000000,8,192,0,2.000000000,3.100000000,2,2,35,25,SPCX  260710C00182500
2026-07-06T13:30:00.290708365Z,2026-07-06T13:30:00.290507325Z,194,35,1275069015,T,N,3.900000000,7,192,0,3.400000000,4.000000000,2,2,25,35,SPCX  260710C00175000
2026-07-06T13:30:00.290854792Z,2026-07-06T13:30:00.290653371Z,194,35,1275069051,T,N,1.000000000,1,192,0,0.950000000,1.000000000,3,12,35,35,SPCX  260710C00200000
2026-07-06T13:30:00.291896184Z,2026-07-06T13:30:00.291695122Z,194,35,1275068639,T,N,6.400000000,8,192,0,5.900000000,6.500000000,1,1,26,35,SPCX  260710C00167500
2026-07-06T13:30:00.293349886Z,2026-07-06T13:30:00.293148621Z,194,35,1275068849,T,N,10.300000000,13,192,0,9.300000000,10.500000000,2,1,25,26,SPCX  260710C00160000
2026-07-06T13:30:00.293435104Z,2026-07-06T13:30:00.293233728Z,194,35,1275068904,T,N,11.900000000,1,192,0,10.900000000,13.700000000,1,10,33,26,SPCX  260710C00157500
2026-07-06T13:30:00.296074289Z,2026-07-06T13:30:00.295873077Z,194,35,1258292274,T,N,11.700000000,5,192,0,10.300000000,12.000000000,10,2,35,26,SPCX  260717C00162500
2026-07-06T13:30:00.296209883Z,2026-07-06T13:30:00.296008558Z,194,35,1258291824,T,N,14.400000000,2,192,0,12.600000000,16.700000000,2,2,25,25,SPCX  260717C00157500
2026-07-06T13:30:00.296828174Z,2026-07-06T13:30:00.296626834Z,194,35,1275068639,T,N,6.500000000,1,192,0,5.900000000,6.500000000,1,1,26,35,SPCX  260710C00167500
2026-07-06T13:30:00.297653016Z,2026-07-06T13:30:00.297451917Z,194,35,1258291232,T,N,28.400000000,4,192,0,27.000000000,30.300000000,5,5,35,35,SPCX  260821C00150000
2026-07-06T13:30:00.297749787Z,2026-07-06T13:30:00.297547909Z,194,35,1258292275,T,N,53.000000000,1,192,0,47.600000000,57.600000000,2,2,27,27,SPCX  270917C00160000
2026-07-06T13:30:00.298044223Z,2026-07-06T13:30:00.297843032Z,194,35,1258291878,T,N,1.100000000,1,192,0,0.350000000,1.700000000,5,5,27,25,SPCX  260717C00222500
2026-07-06T13:30:00.298419899Z,2026-07-06T13:30:00.298218744Z,194,35,1258291735,T,N,1.200000000,1,192,0,1.050000000,1.400000000,4,4,26,26,SPCX  260717C00220000
2026-07-06T13:30:00.299418065Z,2026-07-06T13:30:00.299216146Z,194,35,1258291930,T,N,1.300000000,1,192,0,1.200000000,1.550000000,4,4,26,26,SPCX  260717C00215000
