ts_recv,ts_event,rtype,publisher_id,instrument_id,action,side,price,size,flags,ts_in_delta,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_pb_00,ask_pb_00,symbol
2026-07-10T13:30:00.003728468Z,2026-07-10T13:30:00.003527328Z,194,26,1258291742,T,N,0.100000000,1,192,0,0.050000000,0.300000000,5,55,35,35,SPCX  260717C00300000
2026-07-10T13:30:00.004715395Z,2026-07-10T13:30:00.004514079Z,194,26,1275069106,T,N,0.050000000,1,192,0,,0.350000000,0,7,33,33,SPCX  260710C00202500
2026-07-10T13:30:00.004945588Z,2026-07-10T13:30:00.004744566Z,194,26,1275068631,T,N,0.150000000,4,192,0,,,0,0,0,0,SPCX  260710C00162500
2026-07-10T13:30:00.005291917Z,2026-07-10T13:30:00.005090521Z,194,35,1291845909,T,N,11.300000000,4,192,0,10.900000000,11.800000000,9,1,35,35,SPCX  270319P00100000
2026-07-10T13:30:00.009020649Z,2026-07-10T13:30:00.008819317Z,194,35,1275069107,T,N,0.050000000,1,192,0,0.050000000,0.150000000,7,17,35,35,SPCX  260710C00175000
2026-07-10T13:30:00.014744111Z,2026-07-10T13:30:00.014542979Z,194,26,1275068903,T,N,0.200000000,15,192,0,,,0,0,0,0,SPCX  260710C00160000
2026-07-10T13:30:00.026337160Z,2026-07-10T13:30:00.026135641Z,194,35,1291846272,T,N,6.480000000,1,192,0,6.100000000,7.100000000,8,5,35,26,SPCX  270115P00090000
2026-07-10T13:30:00.026337160Z,2026-07-10T13:30:00.026135641Z,194,35,1291846379,T,N,4.530000000,1,192,0,4.000000000,4.900000000,8,7,35,35,SPCX  270115P00080000
2026-07-10T13:30:00.031945103Z,2026-07-10T13:30:00.031743757Z,194,35,1308623279,T,N,11.300000000,1,192,0,10.800000000,11.600000000,8,1,35,35,SPCX  261218P00110000
2026-07-10T13:30:00.036160366Z,2026-07-10T13:30:00.035959519Z,194,35,1308623431,T,N,15.400000000,1,192,0,14.900000000,15.700000000,8,1,35,35,SPCX  261120P00125000
2026-07-10T13:30:00.045697912Z,2026-07-10T13:30:00.045496544Z,194,35,1308622943,T,N,6.600000000,1,192,0,6.200000000,6.800000000,6,1,35,35,SPCX  260724P00147000
2026-07-10T13:30:00.047953691Z,2026-07-10T13:30:00.047752186Z,194,35,1291845751,T,N,10.500000000,5,192,0,9.900000000,11.200000000,4,3,26,26,SPCX  260731P00150000
2026-07-10T13:30:00.048284896Z,2026-07-10T13:30:00.048083742Z,194,35,1258291395,T,N,1.000000000,3,192,0,1.000000000,1.150000000,1,1,35,35,SPCX  260717C00170000
2026-07-10T13:30:00.050088520Z,2026-07-10T13:30:00.049887253Z,194,35,1275069107,T,N,0.050000000,7,192,0,0.050000000,0.150000000,7,17,35,35,SPCX  260710C00175000
2026-07-10T13:30:00.065163877Z,2026-07-10T13:30:00.064962969Z,194,35,1308623018,T,N,0.250000000,5,192,0,0.200000000,0.350000000,1,1,35,35,SPCX  260710P00144000
2026-07-10T13:30:00.069414604Z,2026-07-10T13:30:00.069213281Z,194,26,1291846230,T,N,54.050000000,1,192,0,53.000000000,55.400000000,8,3,35,26,SPCX  270115P00185000
2026-07-10T13:30:00.069424952Z,2026-07-10T13:30:00.069223393Z,194,26,1291846404,T,N,50.560000000,2,192,0,49.500000000,51.700000000,8,5,35,35,SPCX  270115P00180000
2026-07-10T13:30:00.069424952Z,2026-07-10T13:30:00.069223393Z,194,26,1291845687,T,N,40.650000000,1,192,0,39.400000000,41.500000000,8,6,35,35,SPCX  270115P00165000
2026-07-10T13:30:00.073504257Z,2026-07-10T13:30:00.073303122Z,194,26,1275068925,T,N,1.250000000,1,192,0,0.800000000,2.100000000,8,8,35,35,SPCX  261016C00450000
2026-07-10T13:30:00.073699713Z,2026-07-10T13:30:00.073498518Z,194,26,1275068879,T,N,1.050000000,5,192,0,0.450000000,1.750000000,2,2,25,25,SPCX  260710C00152500
2026-07-10T13:30:00.076440978Z,2026-07-10T13:30:00.076239859Z,194,26,1308623603,T,N,0.100000000,3,192,0,0.050000000,0.150000000,14,11,35,35,SPCX  260710P00140000
2026-07-10T13:30:00.077373008Z,2026-07-10T13:30:00.077172033Z,194,26,1308623558,T,N,0.050000000,2,192,0,,0.350000000,0,8,33,33,SPCX  260710P00138000
2026-07-10T13:30:00.080786622Z,2026-07-10T13:30:00.080585411Z,194,26,1291845823,T,N,0.250000000,1,192,0,0.100000000,0.500000000,6,6,35,35,SPCX  260717P00125000
2026-07-10T13:30:00.081006622Z,2026-07-10T13:30:00.080805705Z,194,26,1308623604,T,N,0.150000000,1,192,0,0.050000000,0.600000000,7,7,27,27,SPCX  260710P00142000
2026-07-10T13:30:00.084851397Z,2026-07-10T13:30:00.084650055Z,194,26,1291845705,T,N,0.300000000,2,192,0,0.050000000,0.750000000,4,5,35,35,SPCX  260731P00100000
2026-07-10T13:30:00.089331600Z,2026-07-10T13:30:00.089130607Z,194,35,1308623211,T,N,5.750000000,20,192,0,5.100000000,6.400000000,9,9,35,35,SPCX  260724P00145000
2026-07-10T13:30:00.089331600Z,2026-07-10T13:30:00.089130607Z,194,35,1308623409,T,N,10.850000000,20,192,0,9.400000000,12.400000000,3,3,26,26,SPCX  260724P00155000
2026-07-10T13:30:00.090007860Z,2026-07-10T13:30:00.089807166Z,194,26,1308623135,T,N,1.400000000,1,192,0,1.050000000,1.850000000,8,8,35,35,SPCX  261218P00060000
2026-07-10T13:30:00.098960024Z,2026-07-10T13:30:00.098758713Z,194,26,1275069006,T,N,20.500000000,1,192,0,17.000000000,21.800000000,4,4,27,27,SPCX  260828C00148000
2026-07-10T13:30:00.100498544Z,2026-07-10T13:30:00.100297195Z,194,26,1308622948,T,N,0.860000000,1,192,0,0.400000000,1.300000000,3,2,26,26,SPCX  260710P00146000
2026-07-10T13:30:00.100498544Z,2026-07-10T13:30:00.100297195Z,194,26,1308623546,T,N,1.050000000,1,192,0,0.500000000,1.450000000,7,8,35,35,SPCX  260710P00147000
2026-07-10T13:30:00.102277743Z,2026-07-10T13:30:00.102076663Z,194,35,1275068879,T,N,1.000000000,1,192,0,0.900000000,1.750000000,1,2,35,25,SPCX  260710C00152500
2026-07-10T13:30:00.113805689Z,2026-07-10T13:30:00.113604130Z,194,35,1275068940,T,N,22.800000000,1,192,0,21.500000000,23.500000000,3,3,26,26,SPCX  261016C00155000
2026-07-10T13:30:00.126041270Z,2026-07-10T13:30:00.125840064Z,194,35,1258291255,T,N,1.150000000,8,192,0,1.150000000,1.500000000,8,8,35,35,SPCX  260821C00295000
2026-07-10T13:30:00.127448797Z,2026-07-10T13:30:00.127247747Z,194,27,1258291760,T,N,13.500000000,2,192,0,13.500000000,16.400000000,2,5,27,27,SPCX  260821C00160000
