ts_recv,ts_event,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,symbol
2026-02-04T00:00:40.440410586Z,2026-02-04T00:00:40.439884883Z,1,1,42427508,T,A,0,61.250000000,1,0,14181,722059391,61.250000000,61.750000000,1,9,1,1,ESH6 C7100
2026-02-04T00:01:07.054658857Z,2026-02-04T00:01:07.050281413Z,1,1,42384726,T,B,0,41.250000000,1,0,14589,722124956,40.750000000,41.250000000,26,1,2,1,ESM6 P5500
2026-02-04T00:02:31.125083730Z,2026-02-04T00:02:31.124305939Z,1,1,42430453,T,A,0,25.500000000,1,0,15847,722278245,25.500000000,26.000000000,1,40,1,2,ESH6 P6200
2026-02-04T00:02:36.874815667Z,2026-02-04T00:02:36.874178579Z,1,1,2579200,T,A,0,17.750000000,1,0,14798,253097387,17.750000000,18.250000000,14,72,1,2,UD:1V: IC 2579200
2026-02-04T00:05:27.335230157Z,2026-02-04T00:05:27.334675167Z,1,1,42430453,T,A,0,25.250000000,1,0,13363,722570344,25.250000000,25.750000000,1,44,1,3,ESH6 P6200
2026-02-04T00:08:37.116371163Z,2026-02-04T00:08:37.115763091Z,1,1,2579229,T,B,0,11.250000000,1,0,13909,253116189,11.000000000,11.250000000,146,1,1,1,UD:1V: VT 2579229
2026-02-04T00:16:55.560366661Z,2026-02-04T00:16:55.489226093Z,1,1,42430453,T,A,0,25.000000000,1,0,12963,723363977,25.000000000,25.500000000,1,41,1,2,ESH6 P6200
2026-02-04T00:17:36.881170473Z,2026-02-04T00:17:36.880660921Z,1,1,42430464,T,A,0,30.500000000,2,0,13520,723418509,30.500000000,30.750000000,2,9,1,1,ESH6 C7200
2026-02-04T00:23:46.963562162Z,2026-02-04T00:23:46.962851603Z,1,1,42431945,T,A,0,99.750000000,2,0,14117,723735080,99.750000000,100.250000000,3,7,1,1,ESH6 P6800
2026-02-04T00:24:45.381876331Z,2026-02-04T00:24:45.381295249Z,1,1,42431945,T,A,0,100.000000000,1,0,14292,723768722,100.000000000,100.250000000,1,7,1,1,ESH6 P6800
2026-02-04T00:26:28.297839718Z,2026-02-04T00:26:28.297274399Z,1,1,42384726,T,B,0,41.000000000,1,0,12926,723864649,40.750000000,41.000000000,26,1,2,1,ESM6 P5500
2026-02-04T00:37:17.471821677Z,2026-02-04T00:37:17.471108351Z,1,1,42427508,T,A,0,61.000000000,1,0,13135,724480932,61.000000000,61.500000000,1,14,1,2,ESH6 C7100
2026-02-04T00:43:19.474788553Z,2026-02-04T00:43:19.430451035Z,1,1,42384726,T,B,0,41.250000000,1,0,14424,724779801,40.750000000,41.250000000,19,1,1,1,ESM6 P5500
2026-02-04T00:46:21.902313399Z,2026-02-04T00:46:21.896376731Z,1,1,42566737,T,A,0,58.500000000,10,0,14386,724958714,58.500000000,59.000000000,2,25,1,3,ESH6 P6575
2026-02-04T00:48:36.541912985Z,2026-02-04T00:48:36.541370423Z,1,1,42430448,T,B,0,0.300000000,24,0,14100,725082923,0.200000000,0.300000000,3,24,1,1,ESH6 P3000
2026-02-04T00:53:32.719055884Z,2026-02-04T00:53:32.718441731Z,1,1,2579561,T,A,0,94.750000000,1,0,14025,253251477,94.750000000,95.500000000,1,9,1,1,UD:1V: DG 2579561
2026-02-04T00:54:21.801365300Z,2026-02-04T00:54:21.800753487Z,1,1,2874585,T,B,0,32.500000000,2,0,14529,253256553,,32.500000000,0,2,0,1,UD:1V: VT 2874585
2026-02-04T00:54:44.750450807Z,2026-02-04T00:54:44.749952237Z,1,1,42429674,T,A,0,80.500000000,10,0,17696,725490703,80.500000000,81.000000000,10,22,1,3,ESH6 P6700
2026-02-04T00:59:08.544249685Z,2026-02-04T00:59:08.535172703Z,1,1,42426302,T,A,0,287.250000000,5,0,14673,725688383,287.250000000,289.750000000,10,12,2,3,ESM6 C6950
2026-02-04T01:00:07.957157359Z,2026-02-04T01:00:07.865471843Z,1,1,42430453,T,A,0,25.500000000,1,0,11253,725754789,25.500000000,25.750000000,1,1,1,1,ESH6 P6200
2026-02-04T01:00:55.123769637Z,2026-02-04T01:00:55.008051311Z,1,1,42439347,T,A,0,128.000000000,1,0,11380,725836634,128.000000000,128.750000000,1,51,1,2,ESU6 P6000
2026-02-04T01:04:02.300262130Z,2026-02-04T01:04:02.254512335Z,1,1,42394754,T,A,0,93.000000000,1,0,11355,726115530,93.000000000,93.500000000,1,6,1,1,ESM6 P6200
2026-02-04T01:16:46.556736312Z,2026-02-04T01:16:46.556143253Z,1,1,2579755,T,A,0,-15.000000000,2,0,13631,253392985,-15.000000000,,2,0,1,0,UD:1V: RR 2579755
2026-02-04T01:19:06.474976303Z,2026-02-04T01:19:06.433301609Z,1,1,4246399,T,A,0,403.250000000,1,0,11881,727339947,403.250000000,404.750000000,1,10,1,2,ESZ6 P7000
