ts_recv,ts_event,rtype,publisher_id,instrument_id,side,price,size,flags,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,symbol
2026-07-01T08:00:01.000000000Z,,195,2,15024,N,,0,128,329535,171.400000000,171.770000000,4,25,1,1,SPCX
2026-07-01T08:00:02.000000000Z,,195,2,15024,N,,0,128,350960,171.400000000,171.770000000,4,25,1,1,SPCX
2026-07-01T08:00:03.000000000Z,,195,2,15024,N,,0,128,358549,171.450000000,171.710000000,34,34,1,1,SPCX
2026-07-01T08:00:04.000000000Z,,195,2,15024,N,,0,128,367118,171.450000000,171.710000000,34,34,1,1,SPCX
2026-07-01T08:00:05.000000000Z,,195,2,15024,N,,0,128,369629,171.450000000,171.650000000,34,34,1,1,SPCX
2026-07-01T08:00:06.000000000Z,,195,2,15024,N,,0,128,372168,171.410000000,171.590000000,34,34,1,1,SPCX
2026-07-01T08:00:07.000000000Z,,195,2,15024,N,,0,128,378363,171.400000000,171.530000000,4,34,1,1,SPCX
2026-07-01T08:00:11.000000000Z,2026-07-01T08:00:10.038508043Z,195,2,15024,N,171.420000000,31,128,391456,171.400000000,171.730000000,4,25,1,1,SPCX
2026-07-01T08:00:12.000000000Z,2026-07-01T08:00:10.038508043Z,195,2,15024,N,171.420000000,31,128,396756,171.400000000,171.640000000,4,3,1,1,SPCX
2026-07-01T08:00:15.000000000Z,2026-07-01T08:00:10.038508043Z,195,2,15024,N,171.420000000,31,128,404291,171.500000000,171.640000000,8,3,1,1,SPCX
2026-07-01T08:00:30.000000000Z,2026-07-01T08:00:29.862319920Z,195,2,15024,N,171.630000000,3,128,451054,171.500000000,171.640000000,8,3,1,1,SPCX
2026-07-01T08:00:35.000000000Z,2026-07-01T08:00:34.052594219Z,195,2,15024,A,171.640000000,29,128,461564,171.640000000,171.810000000,668,25,1,1,SPCX
2026-07-01T08:00:37.000000000Z,2026-07-01T08:00:36.089168572Z,195,2,15024,N,171.630000000,18,128,464543,171.520000000,171.790000000,228,25,2,1,SPCX
2026-07-01T08:00:39.000000000Z,2026-07-01T08:00:38.986750919Z,195,2,15024,N,171.520000000,143,128,470824,171.510000000,171.780000000,946,226,1,2,SPCX
2026-07-01T08:00:40.000000000Z,2026-07-01T08:00:39.878931054Z,195,2,15024,N,171.520000000,1,128,471991,171.510000000,171.780000000,946,226,1,2,SPCX
2026-07-01T08:00:44.000000000Z,2026-07-01T08:00:43.919406252Z,195,2,15024,N,171.520000000,45,128,477952,171.510000000,171.780000000,946,226,1,2,SPCX
2026-07-01T08:00:45.000000000Z,2026-07-01T08:00:44.011391353Z,195,2,15024,N,171.520000000,52,128,478189,171.530000000,171.780000000,894,226,1,2,SPCX
2026-07-01T08:00:47.000000000Z,2026-07-01T08:00:46.659826722Z,195,2,15024,A,171.530000000,1,128,481854,171.530000000,171.780000000,893,226,1,2,SPCX
2026-07-01T08:00:52.000000000Z,2026-07-01T08:00:51.628297435Z,195,2,15024,A,171.530000000,99,128,487912,171.530000000,171.780000000,794,226,1,2,SPCX
2026-07-01T08:00:53.000000000Z,2026-07-01T08:00:51.628297435Z,195,2,15024,A,171.530000000,99,128,490933,171.530000000,171.800000000,794,426,1,3,SPCX
2026-07-01T08:00:54.000000000Z,2026-07-01T08:00:53.450096473Z,195,2,15024,A,171.530000000,100,128,492036,171.530000000,171.800000000,594,426,1,3,SPCX
2026-07-01T08:00:55.000000000Z,2026-07-01T08:00:54.356906632Z,195,2,15024,A,171.530000000,100,128,494261,171.530000000,171.800000000,394,426,1,3,SPCX
2026-07-01T08:00:56.000000000Z,2026-07-01T08:00:54.356906632Z,195,2,15024,A,171.530000000,100,128,495143,171.540000000,171.800000000,394,426,1,3,SPCX
2026-07-01T08:00:58.000000000Z,2026-07-01T08:00:54.356906632Z,195,2,15024,A,171.530000000,100,128,500387,171.540000000,171.800000000,394,626,1,4,SPCX
2026-07-01T08:01:04.000000000Z,2026-07-01T08:00:54.356906632Z,195,2,15024,A,171.530000000,100,128,518483,171.540000000,171.800000000,394,632,1,5,SPCX
2026-07-01T08:01:06.000000000Z,2026-07-01T08:00:54.356906632Z,195,2,15024,A,171.530000000,100,128,529680,171.550000000,171.800000000,404,632,2,5,SPCX
2026-07-01T08:01:07.000000000Z,2026-07-01T08:00:54.356906632Z,195,2,15024,A,171.530000000,100,128,536788,171.550000000,171.580000000,404,20,2,1,SPCX
2026-07-01T08:01:12.000000000Z,2026-07-01T08:01:11.371844436Z,195,2,15024,B,171.580000000,5,128,561649,171.550000000,171.580000000,404,15,2,1,SPCX
2026-07-01T08:01:15.000000000Z,2026-07-01T08:01:11.371844436Z,195,2,15024,B,171.580000000,5,128,578847,171.550000000,171.580000000,404,15,2,1,SPCX
2026-07-01T08:01:16.000000000Z,2026-07-01T08:01:11.371844436Z,195,2,15024,B,171.580000000,5,128,584748,171.550000000,171.580000000,404,15,2,1,SPCX
2026-07-01T08:01:17.000000000Z,2026-07-01T08:01:11.371844436Z,195,2,15024,B,171.580000000,5,128,591247,171.560000000,171.580000000,403,25,2,2,SPCX
2026-07-01T08:01:18.000000000Z,2026-07-01T08:01:11.371844436Z,195,2,15024,B,171.580000000,5,128,596970,171.560000000,171.580000000,403,15,2,1,SPCX
2026-07-01T08:01:19.000000000Z,2026-07-01T08:01:18.561011755Z,195,2,15024,B,171.580000000,15,128,601803,171.560000000,171.800000000,401,432,2,4,SPCX
2026-07-01T08:01:21.000000000Z,2026-07-01T08:01:20.853791771Z,195,2,15024,A,171.560000000,4,128,615440,171.560000000,171.800000000,397,432,2,4,SPCX
2026-07-01T08:01:27.000000000Z,2026-07-01T08:01:20.853791771Z,195,2,15024,A,171.560000000,4,128,639353,171.570000000,171.800000000,408,432,2,4,SPCX
2026-07-01T08:01:28.000000000Z,2026-07-01T08:01:20.853791771Z,195,2,15024,A,171.560000000,4,128,646458,171.570000000,171.800000000,388,432,1,4,SPCX
2026-07-01T08:01:29.000000000Z,2026-07-01T08:01:20.853791771Z,195,2,15024,A,171.560000000,4,128,652191,171.570000000,171.800000000,388,432,1,4,SPCX
2026-07-01T08:01:30.000000000Z,2026-07-01T08:01:20.853791771Z,195,2,15024,A,171.560000000,4,128,652637,171.570000000,171.800000000,408,432,2,4,SPCX
2026-07-01T08:01:31.000000000Z,2026-07-01T08:01:30.624179447Z,195,2,15024,N,171.580000000,6,128,657642,171.570000000,171.800000000,398,432,2,4,SPCX
2026-07-01T08:01:32.000000000Z,2026-07-01T08:01:31.146268837Z,195,2,15024,A,171.570000000,10,128,662238,171.570000000,171.800000000,335,232,2,3,SPCX
2026-07-01T08:01:33.000000000Z,2026-07-01T08:01:32.509927115Z,195,2,15024,A,171.570000000,100,128,667367,171.570000000,171.800000000,225,232,1,3,SPCX
2026-07-01T08:01:34.000000000Z,2026-07-01T08:01:32.509927115Z,195,2,15024,A,171.570000000,100,128,670126,171.570000000,171.790000000,225,25,1,1,SPCX
2026-07-01T08:01:36.000000000Z,2026-07-01T08:01:35.657513701Z,195,2,15024,A,171.570000000,59,128,677183,171.570000000,171.790000000,166,25,1,1,SPCX
2026-07-01T08:01:37.000000000Z,2026-07-01T08:01:36.008070634Z,195,2,15024,N,171.580000000,45,128,679206,171.580000000,171.770000000,121,25,1,1,SPCX
2026-07-01T08:01:38.000000000Z,2026-07-01T08:01:37.304122665Z,195,2,15024,A,171.580000000,7,128,684149,171.400000000,171.760000000,4,219,1,2,SPCX
2026-07-01T08:01:39.000000000Z,2026-07-01T08:01:37.304122665Z,195,2,15024,A,171.580000000,7,128,685651,171.530000000,171.760000000,948,219,2,2,SPCX
2026-07-01T08:01:46.000000000Z,2026-07-01T08:01:45.972111915Z,195,2,15024,N,171.600000000,4,128,713237,171.530000000,171.800000000,948,6,2,1,SPCX
2026-07-01T08:01:48.000000000Z,2026-07-01T08:01:45.972111915Z,195,2,15024,N,171.600000000,4,128,720929,171.550000000,171.800000000,20,6,1,1,SPCX
2026-07-01T08:01:50.000000000Z,2026-07-01T08:01:49.822132966Z,195,2,15024,N,171.550000000,10,128,727868,171.540000000,171.600000000,815,96,1,2,SPCX
2026-07-01T08:01:51.000000000Z,2026-07-01T08:01:49.822132966Z,195,2,15024,N,171.550000000,10,128,730327,171.540000000,171.640000000,835,247,2,4,SPCX
2026-07-01T08:01:52.000000000Z,2026-07-01T08:01:49.822132966Z,195,2,15024,N,171.550000000,10,128,733199,171.540000000,171.640000000,835,461,2,6,SPCX
2026-07-01T08:01:58.000000000Z,2026-07-01T08:01:49.822132966Z,195,2,15024,N,171.550000000,10,128,747738,171.540000000,171.640000000,815,461,1,6,SPCX
2026-07-01T08:01:59.000000000Z,2026-07-01T08:01:58.840116124Z,195,2,15024,N,171.540000000,5,128,750462,171.370000000,171.590000000,27,87,2,2,SPCX
2026-07-01T08:02:00.000000000Z,2026-07-01T08:01:58.840116124Z,195,2,15024,N,171.540000000,5,128,753009,171.380000000,171.630000000,944,121,1,1,SPCX
2026-07-01T08:02:07.000000000Z,2026-07-01T08:02:06.735950283Z,195,2,15024,N,171.500000000,100,128,771330,171.380000000,171.510000000,800,248,1,3,SPCX
2026-07-01T08:02:08.000000000Z,2026-07-01T08:02:06.735950283Z,195,2,15024,N,171.500000000,100,128,773151,171.380000000,171.630000000,820,141,2,2,SPCX
2026-07-01T08:02:11.000000000Z,2026-07-01T08:02:06.735950283Z,195,2,15024,N,171.500000000,100,128,780082,171.380000000,171.620000000,800,20,1,1,SPCX
2026-07-01T08:02:12.000000000Z,2026-07-01T08:02:06.735950283Z,195,2,15024,N,171.500000000,100,128,781339,171.390000000,171.630000000,800,141,1,2,SPCX
2026-07-01T08:02:17.000000000Z,2026-07-01T08:02:06.735950283Z,195,2,15024,N,171.500000000,100,128,790847,171.390000000,171.630000000,800,121,1,1,SPCX
2026-07-01T08:02:22.000000000Z,2026-07-01T08:02:06.735950283Z,195,2,15024,N,171.500000000,100,128,802426,171.400000000,171.630000000,800,121,1,1,SPCX
2026-07-01T08:02:24.000000000Z,2026-07-01T08:02:23.601714407Z,195,2,15024,N,171.460000000,35,128,813242,171.400000000,171.630000000,800,121,1,1,SPCX
2026-07-01T08:02:25.000000000Z,2026-07-01T08:02:23.601714407Z,195,2,15024,N,171.460000000,35,128,816930,171.400000000,171.480000000,800,248,1,3,SPCX
2026-07-01T08:02:27.000000000Z,2026-07-01T08:02:26.376203649Z,195,2,15024,A,171.400000000,700,128,820736,171.200000000,171.450000000,20,254,1,2,SPCX
2026-07-01T08:02:28.000000000Z,2026-07-01T08:02:26.376203649Z,195,2,15024,A,171.400000000,700,128,821773,171.310000000,171.450000000,944,482,1,4,SPCX
2026-07-01T08:02:31.000000000Z,2026-07-01T08:02:30.791032756Z,195,2,15024,A,171.310000000,10,128,828862,171.310000000,171.370000000,964,232,2,2,SPCX
2026-07-01T08:02:34.000000000Z,2026-07-01T08:02:33.217681629Z,195,2,15024,N,171.320000000,284,128,834300,171.310000000,171.390000000,954,228,2,2,SPCX
2026-07-01T08:02:37.000000000Z,2026-07-01T08:02:33.217681629Z,195,2,15024,N,171.320000000,284,128,841197,171.310000000,171.390000000,954,248,2,3,SPCX
2026-07-01T08:02:38.000000000Z,2026-07-01T08:02:33.217681629Z,195,2,15024,N,171.320000000,284,128,844889,171.320000000,171.390000000,934,248,1,3,SPCX
2026-07-01T08:02:39.000000000Z,2026-07-01T08:02:33.217681629Z,195,2,15024,N,171.320000000,284,128,845287,171.320000000,171.390000000,954,248,2,3,SPCX
2026-07-01T08:02:41.000000000Z,2026-07-01T08:02:33.217681629Z,195,2,15024,N,171.320000000,284,128,851549,171.320000000,171.390000000,954,248,2,3,SPCX
2026-07-01T08:02:42.000000000Z,2026-07-01T08:02:41.036164550Z,195,2,15024,N,171.320000000,5,128,853307,171.200000000,171.500000000,20,95,1,1,SPCX
2026-07-01T08:02:43.000000000Z,2026-07-01T08:02:41.036164550Z,195,2,15024,N,171.320000000,5,128,855141,171.240000000,171.500000000,945,95,1,1,SPCX
2026-07-01T08:02:46.000000000Z,2026-07-01T08:02:45.824038720Z,195,2,15024,N,171.310000000,10,128,863589,171.240000000,171.350000000,945,248,1,3,SPCX
2026-07-01T08:02:47.000000000Z,2026-07-01T08:02:46.877995518Z,195,2,15024,N,171.250000000,100,128,866764,171.240000000,171.350000000,945,248,1,3,SPCX
