ts_recv,ts_event,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,symbol
2026-03-30T00:01:19.509565777Z,2026-03-30T00:01:19.508900739Z,1,1,42366512,T,A,0,114.500000000,1,0,15918,8173901,114.500000000,119.500000000,9,46,2,3,ESM6 P5700
2026-03-30T00:01:24.522502471Z,2026-03-30T00:01:24.520104387Z,1,1,42378592,T,B,0,350.000000000,14,0,11906,8178875,346.500000000,350.000000000,17,25,2,1,ESM6 P6500
2026-03-30T00:01:24.618846460Z,2026-03-30T00:01:24.532464815Z,1,1,42378592,T,B,0,350.000000000,10,0,11672,8180220,346.500000000,350.000000000,2,11,1,1,ESM6 P6500
2026-03-30T00:01:24.621652068Z,2026-03-30T00:01:24.545887287Z,1,1,42378592,T,B,0,350.000000000,1,0,12215,8180361,346.500000000,350.000000000,2,1,1,1,ESM6 P6500
2026-03-30T00:01:38.326159046Z,2026-03-30T00:01:38.325784987Z,1,1,42366510,T,A,0,19.500000000,1,0,13134,8211862,19.500000000,20.500000000,1,52,1,2,ESM6 C7100
2026-03-30T00:02:08.627186318Z,2026-03-30T00:02:08.626742483Z,1,1,2710204,T,B,0,20.000000000,1,0,13341,2131948,19.800000000,20.000000000,225,1,1,1,UD:1V: VT 2710204
2026-03-30T00:02:13.350849812Z,2026-03-30T00:02:13.314027255Z,1,1,42459758,T,B,0,9.000000000,1,0,11654,8285659,8.400000000,9.000000000,54,1,2,1,ESZ6 C8200
2026-03-30T00:02:31.922287783Z,2026-03-30T00:02:31.830358225Z,1,1,42438256,T,A,0,7.500000000,6,0,14988,8319782,7.500000000,8.300000000,6,86,1,4,ESZ6 C8300
2026-03-30T00:02:35.598324471Z,2026-03-30T00:02:35.595607529Z,1,1,2703732,T,B,0,109.000000000,46,0,13311,2155851,108.000000000,109.000000000,75,155,2,2,UD:1V: VT 2703732
2026-03-30T00:02:35.623650659Z,2026-03-30T00:02:35.598357335Z,1,1,2703732,T,B,0,109.000000000,38,0,15116,2155965,108.000000000,109.000000000,75,109,2,2,UD:1V: VT 2703732
2026-03-30T00:02:52.258363302Z,2026-03-30T00:02:52.254570321Z,1,1,2703732,T,B,0,109.000000000,44,0,13925,2166073,108.000000000,109.000000000,105,71,2,1,UD:1V: VT 2703732
2026-03-30T00:02:52.265917857Z,2026-03-30T00:02:52.258366867Z,1,1,2703732,T,B,0,109.000000000,27,0,13976,2166094,108.000000000,109.000000000,105,27,2,1,UD:1V: VT 2703732
