ts_recv,ts_event,rtype,publisher_id,instrument_id,side,price,size,flags,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,symbol
2026-06-29T08:00:01.000000000Z,2026-06-29T08:00:00.400946571Z,195,2,15024,A,155.620000000,100,128,332227,154.820000000,156.170000000,122,80,1,1,SPCX
2026-06-29T08:00:02.000000000Z,2026-06-29T08:00:00.400946571Z,195,2,15024,A,155.620000000,100,128,335065,153.230000000,156.170000000,50,80,1,1,SPCX
2026-06-29T08:00:03.000000000Z,2026-06-29T08:00:02.049566239Z,195,2,15024,B,155.210000000,6,128,353816,154.220000000,156.000000000,1,1,1,1,SPCX
2026-06-29T08:00:05.000000000Z,2026-06-29T08:00:02.049566239Z,195,2,15024,B,155.210000000,6,128,370868,154.680000000,156.000000000,100,1,1,1,SPCX
2026-06-29T08:00:06.000000000Z,2026-06-29T08:00:02.049566239Z,195,2,15024,B,155.210000000,6,128,374194,155.000000000,156.000000000,200,1,1,1,SPCX
2026-06-29T08:00:08.000000000Z,2026-06-29T08:00:07.773299498Z,195,2,15024,N,155.510000000,6,128,389239,155.500000000,155.900000000,189,1,1,1,SPCX
2026-06-29T08:00:09.000000000Z,2026-06-29T08:00:08.987974432Z,195,2,15024,N,155.440000000,6,128,394948,155.390000000,155.570000000,6,6,1,1,SPCX
2026-06-29T08:00:10.000000000Z,2026-06-29T08:00:09.974383725Z,195,2,15024,N,155.440000000,12,128,398469,155.390000000,155.630000000,6,6,1,1,SPCX
2026-06-29T08:00:11.000000000Z,2026-06-29T08:00:10.302595747Z,195,2,15024,N,155.280000000,1,128,401156,155.330000000,155.510000000,6,6,1,1,SPCX
2026-06-29T08:00:13.000000000Z,2026-06-29T08:00:12.746457197Z,195,2,15024,N,155.240000000,6,128,412438,155.210000000,155.330000000,6,6,1,1,SPCX
2026-06-29T08:00:14.000000000Z,2026-06-29T08:00:13.908705763Z,195,2,15024,N,155.140000000,6,128,417339,155.090000000,155.240000000,160,100,2,1,SPCX
2026-06-29T08:00:15.000000000Z,2026-06-29T08:00:14.980478209Z,195,2,15024,N,155.040000000,300,128,420542,155.030000000,155.150000000,6,8,1,2,SPCX
2026-06-29T08:00:16.000000000Z,2026-06-29T08:00:15.244249456Z,195,2,15024,B,155.320000000,2,128,421992,155.150000000,155.320000000,6,158,1,1,SPCX
2026-06-29T08:00:17.000000000Z,2026-06-29T08:00:16.238224225Z,195,2,15024,N,155.310000000,5,128,429555,155.270000000,155.740000000,6,10,1,1,SPCX
2026-06-29T08:00:18.000000000Z,2026-06-29T08:00:16.238224225Z,195,2,15024,N,155.310000000,5,128,433810,155.210000000,155.390000000,6,6,1,1,SPCX
2026-06-29T08:00:19.000000000Z,2026-06-29T08:00:18.988485292Z,195,2,15024,N,155.020000000,6,128,437525,155.010000000,155.150000000,172,12,1,2,SPCX
2026-06-29T08:00:20.000000000Z,2026-06-29T08:00:19.896973213Z,195,2,15024,N,155.140000000,101,128,440165,155.010000000,155.210000000,172,6,1,1,SPCX
2026-06-29T08:00:21.000000000Z,2026-06-29T08:00:20.604075222Z,195,2,15024,N,155.250000000,6,128,442680,155.210000000,155.270000000,6,60,1,1,SPCX
2026-06-29T08:00:22.000000000Z,2026-06-29T08:00:21.768532207Z,195,2,15024,N,155.260000000,1,128,448022,155.210000000,155.270000000,6,60,1,1,SPCX
2026-06-29T08:00:23.000000000Z,2026-06-29T08:00:22.478974990Z,195,2,15024,N,155.260000000,1,128,450112,155.210000000,155.270000000,6,60,1,1,SPCX
2026-06-29T08:00:24.000000000Z,2026-06-29T08:00:23.910464513Z,195,2,15024,N,155.160000000,1,128,455467,155.010000000,155.210000000,172,6,1,1,SPCX
2026-06-29T08:00:25.000000000Z,2026-06-29T08:00:24.958874086Z,195,2,15024,N,155.320000000,2,128,460150,155.210000000,155.390000000,6,100,1,1,SPCX
2026-06-29T08:00:26.000000000Z,2026-06-29T08:00:24.958874086Z,195,2,15024,N,155.320000000,2,128,464665,155.270000000,155.450000000,6,66,1,2,SPCX
2026-06-29T08:00:27.000000000Z,2026-06-29T08:00:26.048783468Z,195,2,15024,B,155.450000000,6,128,468558,155.270000000,155.450000000,6,66,1,3,SPCX
2026-06-29T08:00:28.000000000Z,2026-06-29T08:00:27.103283688Z,195,2,15024,N,155.240000000,6,128,470005,155.270000000,155.390000000,6,6,1,1,SPCX
2026-06-29T08:00:29.000000000Z,2026-06-29T08:00:28.104988091Z,195,2,15024,N,155.430000000,5,128,474871,155.330000000,155.450000000,6,60,1,3,SPCX
2026-06-29T08:00:30.000000000Z,2026-06-29T08:00:28.104988091Z,195,2,15024,N,155.430000000,5,128,478980,155.270000000,155.450000000,6,66,1,4,SPCX
2026-06-29T08:00:31.000000000Z,2026-06-29T08:00:30.985928202Z,195,2,15024,A,155.020000000,6,128,482586,155.010000000,155.210000000,177,6,2,1,SPCX
2026-06-29T08:00:32.000000000Z,2026-06-29T08:00:31.127761902Z,195,2,15024,B,155.210000000,6,128,483849,155.090000000,155.270000000,6,66,1,4,SPCX
2026-06-29T08:00:33.000000000Z,2026-06-29T08:00:32.420502783Z,195,2,15024,B,155.270000000,39,128,487291,155.210000000,155.390000000,6,6,1,1,SPCX
2026-06-29T08:00:34.000000000Z,2026-06-29T08:00:33.130638183Z,195,2,15024,N,155.130000000,6,128,489155,155.100000000,155.270000000,136,66,1,2,SPCX
2026-06-29T08:00:36.000000000Z,2026-06-29T08:00:35.399994848Z,195,2,15024,N,155.150000000,10,128,495700,155.090000000,155.210000000,6,6,1,1,SPCX
2026-06-29T08:00:37.000000000Z,2026-06-29T08:00:36.481718497Z,195,2,15024,N,155.120000000,1,128,499817,155.030000000,155.150000000,6,6,1,1,SPCX
2026-06-29T08:00:38.000000000Z,2026-06-29T08:00:37.869239033Z,195,2,15024,N,155.130000000,31,128,503715,155.030000000,155.210000000,6,6,1,1,SPCX
2026-06-29T08:00:39.000000000Z,2026-06-29T08:00:38.293860330Z,195,2,15024,B,155.090000000,1,128,505403,155.030000000,155.150000000,6,6,1,1,SPCX
2026-06-29T08:00:41.000000000Z,2026-06-29T08:00:40.420682809Z,195,2,15024,N,155.130000000,66,128,508207,155.090000000,155.210000000,6,66,1,2,SPCX
2026-06-29T08:00:43.000000000Z,2026-06-29T08:00:42.248802717Z,195,2,15024,A,155.020000000,6,128,511649,155.020000000,155.090000000,130,6,1,1,SPCX
2026-06-29T08:00:44.000000000Z,2026-06-29T08:00:43.373415265Z,195,2,15024,N,155.090000000,6,128,515074,155.020000000,155.090000000,130,6,1,1,SPCX
2026-06-29T08:00:49.000000000Z,2026-06-29T08:00:48.704849426Z,195,2,15024,A,155.020000000,2,128,524297,155.020000000,155.090000000,128,6,1,1,SPCX
2026-06-29T08:00:50.000000000Z,2026-06-29T08:00:49.666581019Z,195,2,15024,N,155.090000000,6,128,526320,155.030000000,155.100000000,6,11,1,1,SPCX
2026-06-29T08:00:53.000000000Z,2026-06-29T08:00:52.144613716Z,195,2,15024,N,155.090000000,4,128,531738,155.030000000,155.100000000,6,11,1,1,SPCX
2026-06-29T08:00:56.000000000Z,2026-06-29T08:00:55.898086552Z,195,2,15024,N,155.130000000,6,128,538797,155.090000000,155.200000000,1109,131,2,2,SPCX
2026-06-29T08:00:57.000000000Z,2026-06-29T08:00:56.826322594Z,195,2,15024,N,155.130000000,11,128,540859,155.090000000,155.200000000,1109,131,2,2,SPCX
