ts_recv,ts_event,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,symbol
2026-03-31T00:00:14.709783905Z,2026-03-31T00:00:14.709346255Z,1,1,2709545,T,B,0,193.500000000,1,0,14312,165637424,193.000000000,193.500000000,68,1,1,1,UD:1V: VT 2709545
2026-03-31T00:00:29.498717206Z,2026-03-31T00:00:29.498162587Z,1,1,2709545,T,B,0,193.000000000,1,0,15305,165652549,192.500000000,193.000000000,112,1,2,1,UD:1V: VT 2709545
2026-03-31T00:00:33.411686126Z,2026-03-31T00:00:33.410510577Z,1,1,2709545,T,B,0,193.000000000,1,0,15298,165654899,192.500000000,193.000000000,112,1,2,1,UD:1V: VT 2709545
2026-03-31T00:00:35.302146801Z,2026-03-31T00:00:35.300462587Z,1,1,2709545,T,B,0,193.000000000,1,0,14473,165655311,192.500000000,193.000000000,112,1,2,1,UD:1V: VT 2709545
2026-03-31T00:00:46.082287105Z,2026-03-31T00:00:45.984289641Z,1,1,2709545,T,B,0,193.500000000,1,0,14737,165660845,192.500000000,193.500000000,112,1,2,1,UD:1V: VT 2709545
2026-03-31T00:01:18.367215806Z,2026-03-31T00:01:18.326414487Z,1,1,2709545,T,B,0,194.000000000,1,0,15174,165670164,193.000000000,194.000000000,107,1,2,1,UD:1V: VT 2709545
2026-03-31T00:02:25.777188527Z,2026-03-31T00:02:25.776833543Z,1,1,42404367,T,B,0,190.000000000,1,0,13551,382680292,189.000000000,190.000000000,37,1,3,1,ESM6 P6100
2026-03-31T00:02:35.324920590Z,2026-03-31T00:02:35.324444761Z,1,1,2709545,T,B,0,191.500000000,1,0,13240,165705692,190.000000000,191.500000000,131,1,3,1,UD:1V: VT 2709545
2026-03-31T00:02:36.337079695Z,2026-03-31T00:02:36.336628073Z,1,1,2709545,T,B,0,191.000000000,1,0,14352,165708072,190.000000000,191.000000000,133,1,4,1,UD:1V: VT 2709545
2026-03-31T00:02:37.219331607Z,2026-03-31T00:02:37.218879991Z,1,1,2709545,T,B,0,191.500000000,1,0,14595,165708712,190.000000000,191.500000000,132,1,4,1,UD:1V: VT 2709545
2026-03-31T00:02:45.731819597Z,2026-03-31T00:02:45.731365963Z,1,1,2709545,T,B,0,191.500000000,1,0,13508,165717417,190.500000000,191.500000000,96,1,2,1,UD:1V: VT 2709545
2026-03-31T00:03:06.067936990Z,2026-03-31T00:03:06.067495949Z,1,1,2709545,T,B,0,192.500000000,1,0,13779,165729350,191.500000000,192.500000000,108,1,2,1,UD:1V: VT 2709545
2026-03-31T00:04:30.087818371Z,2026-03-31T00:04:30.087260551Z,1,1,2541439,T,B,0,261.000000000,1,0,19609,165770295,258.500000000,261.000000000,4,1,1,1,UD:1V: VT 2541439
