ts_recv,ts_event,rtype,publisher_id,instrument_id,action,side,price,size,flags,ts_in_delta,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_pb_00,ask_pb_00,symbol
2026-07-14T13:30:00.018095583Z,2026-07-14T13:30:00.017894462Z,194,26,1291846122,T,N,0.050000000,1,192,0,,0.350000000,0,5,33,33,SPCX  260717P00100000
2026-07-14T13:30:00.024013021Z,2026-07-14T13:30:00.023811864Z,194,26,1258291642,T,N,0.100000000,5,192,0,0.100000000,0.150000000,5,13,26,35,SPCX  260717C00190000
2026-07-14T13:30:00.042896408Z,2026-07-14T13:30:00.042695405Z,194,35,1308623024,T,N,13.900000000,3,192,0,11.700000000,14.700000000,1,3,27,27,SPCX  260918P00130000
2026-07-14T13:30:00.052790179Z,2026-07-14T13:30:00.052588937Z,194,35,1308623309,T,N,33.800000000,1,192,0,,,0,0,0,0,SPCX  261016P00160000
2026-07-14T13:30:00.054429383Z,2026-07-14T13:30:00.054227852Z,194,35,1308623377,T,N,31.400000000,1,192,0,30.600000000,32.100000000,1,5,35,35,SPCX  260918P00160000
2026-07-14T13:30:00.059260623Z,2026-07-14T13:30:00.059059335Z,194,35,1275068649,T,N,11.800000000,20,192,0,10.200000000,14.100000000,5,5,27,27,SPCX  261218C00200000
2026-07-14T13:30:00.059461167Z,2026-07-14T13:30:00.059259800Z,194,35,1275068553,T,N,11.600000000,3,192,0,,,0,0,0,0,SPCX  261120C00190000
2026-07-14T13:30:00.059932215Z,2026-07-14T13:30:00.059730924Z,194,35,1275068812,T,N,13.600000000,1,192,0,12.800000000,14.600000000,7,5,35,35,SPCX  261218C00190000
2026-07-14T13:30:00.060599337Z,2026-07-14T13:30:00.060397558Z,194,35,1308623414,T,N,26.220000000,2,192,0,25.600000000,27.300000000,9,9,35,35,SPCX  261218P00140000
2026-07-14T13:30:00.060608823Z,2026-07-14T13:30:00.060407630Z,194,35,1308623061,T,N,8.950000000,2,192,0,8.800000000,9.100000000,1,5,27,35,SPCX  261218P00100000
2026-07-14T13:30:00.060608823Z,2026-07-14T13:30:00.060407630Z,194,35,1308623124,T,N,16.210000000,4,192,0,15.600000000,17.200000000,9,13,35,35,SPCX  261218P00120000
2026-07-14T13:30:00.066288888Z,2026-07-14T13:30:00.066087765Z,194,26,1258292035,T,N,0.200000000,5,192,0,0.050000000,0.800000000,7,3,35,25,SPCX  260731C00330000
2026-07-14T13:30:00.071195848Z,2026-07-14T13:30:00.070994495Z,194,35,1258291285,T,N,1.150000000,135,192,0,1.100000000,1.400000000,6,3,35,35,SPCX  260717C00152500
2026-07-14T13:30:00.072278342Z,2026-07-14T13:30:00.072077050Z,194,26,1258291285,T,N,1.200000000,2,192,0,1.100000000,1.400000000,6,3,35,35,SPCX  260717C00152500
2026-07-14T13:30:00.076269285Z,2026-07-14T13:30:00.076068151Z,194,35,1291846400,T,N,4.600000000,2,192,0,3.900000000,5.000000000,4,4,26,26,SPCX  260717P00141000
2026-07-14T13:30:00.076777484Z,2026-07-14T13:30:00.076576189Z,194,27,1308623061,T,N,8.800000000,1,192,0,8.800000000,9.100000000,1,5,27,35,SPCX  261218P00100000
2026-07-14T13:30:00.078368311Z,2026-07-14T13:30:00.078166606Z,194,35,1258292265,T,N,1.550000000,40,192,0,1.400000000,1.600000000,6,1,35,35,SPCX  260717C00150000
2026-07-14T13:30:00.078427627Z,2026-07-14T13:30:00.078226731Z,194,26,1258291747,T,N,4.700000000,6,192,0,3.400000000,5.800000000,5,5,27,27,SPCX  260821C00180000
2026-07-14T13:30:00.080622101Z,2026-07-14T13:30:00.080420756Z,194,26,1275068527,T,N,2.670000000,4,192,0,2.350000000,3.200000000,9,9,35,35,SPCX  260918C00230000
2026-07-14T13:30:00.080622101Z,2026-07-14T13:30:00.080420756Z,194,26,1275069090,T,N,4.690000000,4,192,0,4.300000000,5.000000000,9,3,35,26,SPCX  260918C00200000
2026-07-14T13:30:00.081440297Z,2026-07-14T13:30:00.081238925Z,194,35,1258291867,T,N,3.100000000,12,192,0,2.900000000,3.600000000,3,2,26,35,SPCX  260731C00160000
2026-07-14T13:30:00.082586258Z,2026-07-14T13:30:00.082384900Z,194,26,1275068932,T,N,15.700000000,10,192,0,14.900000000,16.000000000,7,5,35,35,SPCX  260918C00150000
2026-07-14T13:30:00.082716581Z,2026-07-14T13:30:00.082515253Z,194,26,1275069023,T,N,21.000000000,1,192,0,20.200000000,22.100000000,7,9,35,35,SPCX  261218C00160000
2026-07-14T13:30:00.084672947Z,2026-07-14T13:30:00.084471666Z,194,35,1258291349,T,N,3.500000000,1,192,0,3.400000000,4.200000000,3,4,26,26,SPCX  260731C00157500
2026-07-14T13:30:00.086186657Z,2026-07-14T13:30:00.085985474Z,194,35,1258291252,T,N,6.300000000,2,192,0,6.000000000,6.900000000,4,4,26,26,SPCX  260821C00170000
2026-07-14T13:30:00.087198745Z,2026-07-14T13:30:00.086997643Z,194,26,1258291224,T,N,7.500000000,1,192,0,5.900000000,8.900000000,5,5,27,27,SPCX  260821C00165000
2026-07-14T13:30:00.087432674Z,2026-07-14T13:30:00.087231523Z,194,26,1275069000,T,N,19.800000000,1,192,0,19.100000000,20.700000000,6,9,35,35,SPCX  260918C00140000
2026-07-14T13:30:00.087633293Z,2026-07-14T13:30:00.087431949Z,194,26,1275068543,T,N,28.400000000,1,192,0,27.200000000,29.400000000,8,8,35,35,SPCX  261218C00140000
2026-07-14T13:30:00.088767473Z,2026-07-14T13:30:00.088566393Z,194,26,1258291586,T,N,2.750000000,7,192,0,2.250000000,3.600000000,2,2,25,25,SPCX  260717C00145000
2026-07-14T13:30:00.094394239Z,2026-07-14T13:30:00.094193077Z,194,35,1275068763,T,N,9.100000000,1,192,0,7.900000000,10.500000000,2,2,25,25,SPCX  260814C00155000
