ts_recv,ts_event,rtype,publisher_id,instrument_id,side,price,size,flags,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,symbol
2026-06-26T08:00:01.000000000Z,2026-06-26T08:00:00.692549811Z,195,2,15024,A,151.580000000,200,128,334234,149.000000000,151.400000000,16,100,1,1,SPCX
2026-06-26T08:00:02.000000000Z,2026-06-26T08:00:01.844037039Z,195,2,15024,A,151.150000000,5,128,349558,149.000000000,154.490000000,19,250,2,1,SPCX
2026-06-26T08:00:03.000000000Z,2026-06-26T08:00:02.761978709Z,195,2,15024,N,151.080000000,4,128,360385,151.000000000,153.810000000,4,1,1,1,SPCX
2026-06-26T08:00:04.000000000Z,2026-06-26T08:00:03.651209559Z,195,2,15024,B,151.320000000,2,128,368001,151.100000000,152.000000000,24,11,1,1,SPCX
2026-06-26T08:00:05.000000000Z,2026-06-26T08:00:04.565875174Z,195,2,15024,N,151.150000000,6,128,373210,151.100000000,151.500000000,24,61,1,2,SPCX
2026-06-26T08:00:06.000000000Z,2026-06-26T08:00:04.565875174Z,195,2,15024,N,151.150000000,6,128,374857,151.100000000,151.500000000,24,60,1,1,SPCX
2026-06-26T08:00:11.000000000Z,2026-06-26T08:00:10.340510386Z,195,2,15024,N,151.150000000,6,128,401233,151.100000000,151.370000000,24,1,1,1,SPCX
2026-06-26T08:00:12.000000000Z,2026-06-26T08:00:11.588618926Z,195,2,15024,B,151.370000000,1,128,413939,151.100000000,151.500000000,24,60,1,1,SPCX
2026-06-26T08:00:26.000000000Z,2026-06-26T08:00:25.995098374Z,195,2,15024,B,151.160000000,60,128,479087,150.630000000,151.720000000,200,1,2,1,SPCX
2026-06-26T08:00:27.000000000Z,2026-06-26T08:00:25.995098374Z,195,2,15024,B,151.160000000,60,128,483573,150.950000000,151.720000000,5,61,1,2,SPCX
2026-06-26T08:00:32.000000000Z,2026-06-26T08:00:31.244106158Z,195,2,15024,N,151.360000000,24,128,499320,150.950000000,151.470000000,5,12,1,1,SPCX
2026-06-26T08:00:34.000000000Z,2026-06-26T08:00:31.244106158Z,195,2,15024,N,151.360000000,24,128,505798,150.950000000,151.400000000,5,10,1,1,SPCX
