ts_recv,ts_event,rtype,publisher_id,instrument_id,side,price,size,flags,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,symbol
2026-07-10T08:00:24.000000000Z,2026-07-10T08:00:20.977619118Z,195,2,15024,N,150.060000000,100,128,454535,150.000000000,150.190000000,22,120,1,2,SPCX
2026-07-10T08:00:25.000000000Z,2026-07-10T08:00:20.977619118Z,195,2,15024,N,150.060000000,100,128,457272,150.000000000,150.190000000,27,120,3,2,SPCX
2026-07-10T08:00:26.000000000Z,2026-07-10T08:00:25.638037953Z,195,2,15024,N,150.160000000,15,128,459448,150.060000000,150.190000000,1,66,1,2,SPCX
2026-07-10T08:00:27.000000000Z,2026-07-10T08:00:25.638037953Z,195,2,15024,N,150.160000000,15,128,462967,150.060000000,150.190000000,1,64,1,2,SPCX
2026-07-10T08:00:28.000000000Z,2026-07-10T08:00:25.638037953Z,195,2,15024,N,150.160000000,15,128,465412,150.060000000,150.190000000,1,63,1,2,SPCX
2026-07-10T08:00:29.000000000Z,2026-07-10T08:00:25.638037953Z,195,2,15024,N,150.160000000,15,128,466774,150.060000000,150.190000000,1,62,1,2,SPCX
2026-07-10T08:00:30.000000000Z,2026-07-10T08:00:25.638037953Z,195,2,15024,N,150.160000000,15,128,468661,150.060000000,150.190000000,1,60,1,1,SPCX
2026-07-10T08:00:32.000000000Z,2026-07-10T08:00:25.638037953Z,195,2,15024,N,150.160000000,15,128,473147,150.060000000,150.100000000,1,18,1,1,SPCX
2026-07-10T08:00:33.000000000Z,2026-07-10T08:00:32.224480430Z,195,2,15024,A,150.060000000,1,128,474739,150.000000000,150.090000000,544,98,7,1,SPCX
2026-07-10T08:00:35.000000000Z,2026-07-10T08:00:32.224480430Z,195,2,15024,A,150.060000000,1,128,482005,150.000000000,150.090000000,568,98,8,1,SPCX
2026-07-10T08:00:39.000000000Z,2026-07-10T08:00:32.224480430Z,195,2,15024,A,150.060000000,1,128,489656,150.000000000,150.060000000,568,24,8,1,SPCX
2026-07-10T08:00:41.000000000Z,2026-07-10T08:00:32.224480430Z,195,2,15024,A,150.060000000,1,128,493023,150.000000000,150.080000000,568,122,8,2,SPCX
2026-07-10T08:00:44.000000000Z,2026-07-10T08:00:43.618533357Z,195,2,15024,B,150.080000000,2,128,499966,150.000000000,150.100000000,568,54,8,3,SPCX
2026-07-10T08:00:45.000000000Z,2026-07-10T08:00:44.526834440Z,195,2,15024,A,150.130000000,1,128,501893,150.100000000,150.170000000,46,16,1,1,SPCX
2026-07-10T08:00:51.000000000Z,2026-07-10T08:00:50.079064488Z,195,2,15024,A,150.100000000,46,128,516646,150.010000000,150.170000000,98,22,1,1,SPCX
