ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2026-06-12T00:00:00.000000000Z,35,2,15024,150.000000000,176.520000000,150.000000000,166.850000000,219552085,SPCX
2026-06-15T00:00:00.000000000Z,35,2,15024,170.500000000,202.200000000,167.080000000,199.210000000,72234643,SPCX
2026-06-16T00:00:00.000000000Z,35,2,15024,199.750000000,225.620000000,195.130000000,205.950000000,82444162,SPCX
2026-06-17T00:00:00.000000000Z,35,2,15024,207.000000000,213.760000000,187.010000000,195.170000000,50404734,SPCX
2026-06-18T00:00:00.000000000Z,35,2,15024,193.090000000,195.000000000,172.110000000,181.610000000,99529159,SPCX
2026-06-22T00:00:00.000000000Z,35,2,15024,179.120000000,179.720000000,152.560000000,156.800000000,39447040,SPCX
2026-06-23T00:00:00.000000000Z,35,2,15024,150.710000000,165.500000000,147.060000000,156.990000000,38855644,SPCX
2026-06-24T00:00:00.000000000Z,35,2,15024,156.600000000,159.850000000,150.720000000,154.000000000,20171443,SPCX
2026-06-25T00:00:00.000000000Z,35,2,15024,155.600000000,163.600000000,150.060000000,152.800000000,16300100,SPCX
2026-06-26T00:00:00.000000000Z,35,2,15024,151.660000000,158.400000000,148.510000000,152.750000000,57493031,SPCX
2026-06-29T00:00:00.000000000Z,35,2,15024,155.670000000,166.170000000,151.740000000,163.330000000,24381699,SPCX
2026-06-30T00:00:00.000000000Z,35,2,15024,163.140000000,173.310000000,160.380000000,172.340000000,25010530,SPCX
2026-07-01T00:00:00.000000000Z,35,2,15024,171.420000000,176.140000000,156.170000000,157.860000000,28835382,SPCX
2026-07-02T00:00:00.000000000Z,35,2,15024,156.890000000,162.160000000,155.730000000,160.990000000,14866308,SPCX
2026-07-06T00:00:00.000000000Z,35,2,15024,163.150000000,167.890000000,155.040000000,157.680000000,96267248,SPCX
2026-07-07T00:00:00.000000000Z,35,2,15024,158.600000000,161.290000000,148.700000000,151.010000000,22533093,SPCX
2026-07-08T00:00:00.000000000Z,35,2,15024,150.450000000,152.940000000,145.205000000,148.960000000,16742558,SPCX
2026-07-09T00:00:00.000000000Z,35,2,15024,150.300000000,153.500000000,147.580000000,152.280000000,13756248,SPCX
2026-07-10T00:00:00.000000000Z,35,2,15024,150.100000000,152.500000000,145.070000000,145.910000000,16436173,SPCX
2026-07-13T00:00:00.000000000Z,35,2,15024,143.300000000,144.920000000,136.780000000,137.870000000,17487412,SPCX
2026-07-14T00:00:00.000000000Z,35,2,15024,138.680000000,143.330000000,135.940000000,137.100000000,12316740,SPCX
2026-07-15T00:00:00.000000000Z,35,2,15024,137.800000000,139.340000000,132.195000000,135.870000000,14617281,SPCX
2026-07-16T00:00:00.000000000Z,35,2,15024,135.590000000,137.760000000,124.470000000,127.010000000,16762400,SPCX
2026-07-17T00:00:00.000000000Z,35,2,15024,125.610000000,130.310000000,122.120000000,124.140000000,21933952,SPCX
2026-07-20T00:00:00.000000000Z,35,2,15024,125.450000000,126.390000000,119.630000000,120.300000000,16110697,SPCX
2026-07-21T00:00:00.000000000Z,35,2,15024,121.660000000,129.880000000,120.360000000,125.010000000,15572606,SPCX
2026-07-22T00:00:00.000000000Z,35,2,15024,123.670000000,124.960000000,114.350000000,115.990000000,19379023,SPCX
2026-07-23T00:00:00.000000000Z,35,2,15024,116.340000000,119.100000000,110.860000000,116.250000000,17532364,SPCX
2026-07-24T00:00:00.000000000Z,35,2,15024,116.550000000,118.130000000,110.230000000,113.370000000,13234306,SPCX
