ts_recv,ts_event,rtype,publisher_id,instrument_id,side,price,size,flags,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,symbol
2026-06-25T08:00:01.000000000Z,,195,2,15024,N,,0,128,333925,155.200000000,156.200000000,400,200,1,1,SPCX
2026-06-25T08:00:02.000000000Z,,195,2,15024,N,,0,128,349701,155.200000000,155.800000000,400,200,1,1,SPCX
2026-06-25T08:00:03.000000000Z,,195,2,15024,N,,0,128,353533,155.200000000,155.800000000,200,200,1,1,SPCX
2026-06-25T08:00:04.000000000Z,2026-06-25T08:00:03.107282586Z,195,2,15024,N,155.640000000,11,128,365120,155.220000000,155.650000000,80,1,1,1,SPCX
2026-06-25T08:00:05.000000000Z,2026-06-25T08:00:04.107985993Z,195,2,15024,B,155.650000000,1,128,368692,155.250000000,156.000000000,80,400,1,1,SPCX
2026-06-25T08:00:06.000000000Z,2026-06-25T08:00:04.107985993Z,195,2,15024,B,155.650000000,1,128,375709,155.230000000,156.000000000,80,400,1,1,SPCX
2026-06-25T08:00:07.000000000Z,2026-06-25T08:00:06.356738826Z,195,2,15024,N,155.220000000,100,128,380802,155.210000000,155.800000000,254,410,1,2,SPCX
2026-06-25T08:00:08.000000000Z,2026-06-25T08:00:07.481488987Z,195,2,15024,N,155.370000000,7,128,388211,155.210000000,155.800000000,254,10,1,1,SPCX
2026-06-25T08:00:14.000000000Z,2026-06-25T08:00:13.842613878Z,195,2,15024,N,155.450000000,15,128,419996,155.210000000,155.800000000,334,2672,2,28,SPCX
2026-06-25T08:00:15.000000000Z,2026-06-25T08:00:14.340894869Z,195,2,15024,N,155.700000000,22,128,423011,155.210000000,155.800000000,254,2896,1,36,SPCX
2026-06-25T08:00:16.000000000Z,2026-06-25T08:00:14.340894869Z,195,2,15024,N,155.700000000,22,128,429352,155.210000000,155.800000000,254,3552,1,48,SPCX
2026-06-25T08:00:17.000000000Z,2026-06-25T08:00:14.340894869Z,195,2,15024,N,155.700000000,22,128,433224,155.210000000,155.800000000,254,3906,1,55,SPCX
2026-06-25T08:00:18.000000000Z,2026-06-25T08:00:14.340894869Z,195,2,15024,N,155.700000000,22,128,437284,155.210000000,155.690000000,334,201,2,5,SPCX
2026-06-25T08:00:19.000000000Z,2026-06-25T08:00:18.954519321Z,195,2,15024,N,155.640000000,1,128,441320,155.210000000,155.680000000,334,228,2,5,SPCX
2026-06-25T08:00:20.000000000Z,2026-06-25T08:00:19.821235855Z,195,2,15024,B,155.670000000,30,128,445466,155.220000000,155.670000000,245,71,1,2,SPCX
2026-06-25T08:00:21.000000000Z,2026-06-25T08:00:20.468191895Z,195,2,15024,B,155.670000000,14,128,447911,155.220000000,155.670000000,245,159,1,4,SPCX
2026-06-25T08:00:22.000000000Z,2026-06-25T08:00:21.341047876Z,195,2,15024,B,155.670000000,46,128,453301,155.220000000,155.670000000,245,257,1,8,SPCX
2026-06-25T08:00:23.000000000Z,2026-06-25T08:00:22.951677560Z,195,2,15024,B,155.670000000,2,128,458152,155.220000000,155.670000000,245,358,1,8,SPCX
2026-06-25T08:00:24.000000000Z,2026-06-25T08:00:23.997753775Z,195,2,15024,B,155.680000000,4,128,462862,155.530000000,155.680000000,100,97,1,2,SPCX
2026-06-25T08:00:25.000000000Z,2026-06-25T08:00:24.450581794Z,195,2,15024,N,155.830000000,7,128,465053,155.800000000,156.000000000,700,200,1,1,SPCX
2026-06-25T08:00:26.000000000Z,2026-06-25T08:00:24.450581794Z,195,2,15024,N,155.830000000,7,128,469227,155.800000000,156.000000000,700,202,1,2,SPCX
2026-06-25T08:00:27.000000000Z,2026-06-25T08:00:26.434080308Z,195,2,15024,N,155.970000000,2,128,473814,155.800000000,156.000000000,700,202,1,2,SPCX
2026-06-25T08:00:28.000000000Z,2026-06-25T08:00:27.954966372Z,195,2,15024,N,156.090000000,73,128,479972,155.800000000,156.560000000,900,20,2,1,SPCX
