ts_recv,ts_event,rtype,publisher_id,instrument_id,action,side,price,size,flags,ts_in_delta,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_pb_00,ask_pb_00,symbol
2026-06-29T13:30:00.018668696Z,2026-06-29T13:30:00.018467202Z,194,35,1275068880,T,N,12.600000000,2,192,0,12.000000000,12.900000000,1,1,35,35,SPCX  260710C00150000
2026-06-29T13:30:00.028291219Z,2026-06-29T13:30:00.028090162Z,194,35,1275068521,T,N,17.500000000,1,192,0,17.500000000,19.300000000,10,1,35,33,SPCX  260710C00143000
2026-06-29T13:30:00.044918613Z,2026-06-29T13:30:00.044717307Z,194,35,1308623077,T,N,3.700000000,1,192,0,3.400000000,3.800000000,1,1,35,35,SPCX  260710P00145000
2026-06-29T13:30:00.050654309Z,2026-06-29T13:30:00.050453401Z,194,35,1291846507,T,N,14.900000000,1,192,0,13.800000000,15.900000000,1,1,35,35,SPCX  260717P00165000
2026-06-29T13:30:00.052483830Z,2026-06-29T13:30:00.052282786Z,194,35,1291846500,T,N,6.500000000,5,192,0,6.200000000,6.800000000,3,3,26,26,SPCX  260821P00130000
2026-06-29T13:30:00.052862346Z,2026-06-29T13:30:00.052661249Z,194,35,1308623008,T,N,13.150000000,1,192,0,11.800000000,14.400000000,2,2,25,25,SPCX  260710P00165000
2026-06-29T13:30:00.052862346Z,2026-06-29T13:30:00.052661249Z,194,35,1308623279,T,N,10.800000000,1,192,0,10.000000000,11.600000000,5,2,35,25,SPCX  260702P00165000
2026-06-29T13:30:00.066332796Z,2026-06-29T13:30:00.066130838Z,194,35,1275068879,T,N,3.100000000,3,192,0,2.750000000,3.600000000,4,4,35,35,SPCX  260710C00175000
2026-06-29T13:30:00.076219127Z,2026-06-29T13:30:00.076018026Z,194,26,1258291510,T,N,7.270000000,5,192,0,6.100000000,8.800000000,3,2,26,26,SPCX  260717C00165000
2026-06-29T13:30:00.076219127Z,2026-06-29T13:30:00.076018026Z,194,26,1258291902,T,N,14.320000000,5,192,0,12.700000000,15.500000000,2,2,25,25,SPCX  260821C00165000
2026-06-29T13:30:00.076696654Z,2026-06-29T13:30:00.076495483Z,194,26,1291845658,T,N,5.000000000,2,192,0,5.000000000,6.100000000,2,2,26,25,SPCX  270115P00090000
2026-06-29T13:30:00.081501626Z,2026-06-29T13:30:00.081300642Z,194,26,1258291580,T,N,10.910000000,1,192,0,10.700000000,11.800000000,1,1,35,35,SPCX  260821C00175000
2026-06-29T13:30:00.081502985Z,2026-06-29T13:30:00.081301862Z,194,26,1291846503,T,N,8.190000000,1,192,0,7.700000000,8.400000000,3,3,26,26,SPCX  260821P00135000
2026-06-29T13:30:00.112928037Z,2026-06-29T13:30:00.112726866Z,194,35,1275068855,T,N,0.500000000,1,192,0,0.400000000,0.450000000,1,1,35,26,SPCX  260702C00195000
2026-06-29T13:30:00.116065889Z,2026-06-29T13:30:00.115864463Z,194,26,1291846287,T,N,18.400000000,21,192,0,16.400000000,20.200000000,1,1,25,25,SPCX  260717P00170000
2026-06-29T13:30:00.124876289Z,2026-06-29T13:30:00.124675319Z,194,26,1291846114,T,N,3.800000000,1,192,0,3.000000000,4.700000000,5,1,35,35,SPCX  260717P00140000
2026-06-29T13:30:00.126690972Z,2026-06-29T13:30:00.126489668Z,194,26,1275068944,T,N,21.400000000,1,192,0,20.900000000,22.900000000,2,2,35,35,SPCX  261218C00180000
2026-06-29T13:30:00.127037196Z,2026-06-29T13:30:00.126835684Z,194,26,1275068479,T,N,3.200000000,7,192,0,2.650000000,4.000000000,5,5,27,27,SPCX  260702C00162500
2026-06-29T13:30:00.127498500Z,2026-06-29T13:30:00.127296680Z,194,26,1275068466,T,N,0.650000000,2,192,0,0.200000000,1.300000000,2,2,25,25,SPCX  260702C00182500
